"","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf"
"result.1",68.2468621253891,5.75059516532717,0.210236886321532,1.14142484102322,0.175499398091081,2.23257264082975,0,-0.484956872995909,2.48634335872344,4.49495527559351
"result.2",67.9816041490525,5.78425954158833,0.21783622380506,1.0909491926176,0.159698754167883,2.46041882842317,0,-0.462310773518396,2.5415968656244,4.67827469056758
"result.3",69.6504223916822,5.24565028058042,0.200762807705097,1.15322992469059,0.149370834391803,2.63539138665137,0,-0.517639534366816,2.77761556822436,4.41043859573618
"result.4",68.3354739037745,6.02212397880471,0.230359177889842,1.02431973438834,0.166633463362373,2.27360625067097,0,-0.337416581001268,1.17498054322112,4.93078152743979
"result.5",69.4106826318595,5.18039233654523,0.211959456589073,1.08541246374907,0.129318608642856,2.57432476055139,0,-0.475384027971663,2.86828485269811,4.70194164591473
"result.6",68.2803661939842,5.24965898260362,0.217958051151695,1.11119314800055,0.173906410677063,2.39990626535908,0,-0.44461124923605,2.54762399601888,4.6874365641008
"result.7",68.0683553489911,5.3145369531061,0.214953986585319,1.11870649197831,0.161653064667827,2.43210333965168,0,-0.470259684104655,2.92542953749342,4.60569495196922
"result.8",67.4345668872353,5.0615806819097,0.226788327955225,1.08187623395675,0.178785949420335,2.36903253073728,0,-0.430338766387284,2.45637805935206,4.8406638461908
"result.9",68.8087558975795,5.17002559164582,0.211883311149208,1.13665948187634,0.192939252876089,2.53415250183219,0,-0.446763824374774,2.15767399586382,4.5587246170532
"result.10",69.22896859736,5.46759415921464,0.210579623904329,1.11029137913366,0.179032894547951,2.16715875797111,0,-0.45014255724643,2.86499326497659,4.57484671591323
"result.11",68.1025047166232,6.7725564389312,0.2211010974951,1.09458912180012,0.147680746294885,2.26463999207823,0,-0.418054747011659,1.96297813155057,4.71969820361849
"result.12",69.2385757263586,5.01895271870382,0.207255211013122,1.14149840070614,0.18095076851118,2.30807112989753,0,-0.467298256959499,2.32456311919342,4.49260157392438
"result.13",66.728457325803,5.62820155533409,0.227565133157001,1.0973608477499,0.150460710658873,2.69484382367876,0,-0.437700553135475,2.31040131137183,4.77820365528422
"result.14",68.5716914642909,5.42446626768846,0.209165863466749,1.15123216400534,0.1619865469994,2.56452712042514,0,-0.497793754793929,3.37529508099968,4.52888205224464
