age.yrs,fork.length.cm,source
0.35,10.4,demartini
0.37,9.4,demartini
0.39,8.4,demartini
0.42,9.3,demartini
0.43,9.3,demartini
0.44,8.9,demartini
0.45,9.3,demartini
0.45,12.4,demartini
0.45,11.3,demartini
0.46,10.8,demartini
0.49,10.6,demartini
0.5,10.6,demartini
0.51,12,demartini
0.51,10.8,demartini
0.53,10,demartini
0.53,13.6,demartini
0.54,13.4,demartini
0.59,14.9,demartini
0.62,13.5,demartini
0.64,13.2,demartini
0.65,13.9,demartini
0.68,14.2,demartini
0.68,16.6,demartini
0.72,16.8,demartini
0.74,15.5,demartini
0.79,18.2,demartini
0.81,14.4,demartini
0.85,17,demartini
0.89,14.9,demartini
0.9,16.4,demartini
0.9,16.9,demartini
0.91,17.6,demartini
0.96,18.6,demartini
0.99,17.5,demartini
1.12,19.8,demartini
0.8,18.5,ralston and miyamoto
0.9,19.6,ralston and miyamoto
1.1,22.6,ralston and miyamoto
1.2,23.6,ralston and miyamoto
1.1,24,ralston and miyamoto
1.1,24.6,ralston and miyamoto
1.2,25.1,ralston and miyamoto
1.5,25.3,ralston and miyamoto
1.5,26,ralston and miyamoto
1.3,26.1,ralston and miyamoto
1.1,26.5,ralston and miyamoto
2,30.3,ralston and miyamoto
2.3,31.5,ralston and miyamoto
3.2,31.6,ralston and miyamoto
3.4,33.3,ralston and miyamoto
2.5,36.1,ralston and miyamoto
2.3,36.3,ralston and miyamoto
3.8,37.3,ralston and miyamoto
2.8,37.4,ralston and miyamoto
3,38.1,ralston and miyamoto
4,38.1,ralston and miyamoto
2.8,38.2,ralston and miyamoto
3.7,38.7,ralston and miyamoto
2.4,39.4,ralston and miyamoto
3.3,39.5,ralston and miyamoto
3.6,39.6,ralston and miyamoto
2.7,40.2,ralston and miyamoto
3.2,40.5,ralston and miyamoto
2.2,40.7,ralston and miyamoto
3.4,40.9,ralston and miyamoto
3.7,41,ralston and miyamoto
3.7,41.4,ralston and miyamoto
3.3,41.8,ralston and miyamoto
4.8,42,ralston and miyamoto
2.2,42.1,ralston and miyamoto
3.2,42.4,ralston and miyamoto
3.6,42.6,ralston and miyamoto
6,44.2,ralston and miyamoto
3.2,44.8,ralston and miyamoto
3.9,45.3,ralston and miyamoto
5.8,45.4,ralston and miyamoto
2.9,47.1,ralston and miyamoto
4.9,47.3,ralston and miyamoto
4.2,47.9,ralston and miyamoto
4.7,47.9,ralston and miyamoto
4.9,48.3,ralston and miyamoto
5.8,48.5,ralston and miyamoto
4.2,48.6,ralston and miyamoto
6.1,49.4,ralston and miyamoto
4.3,49.8,ralston and miyamoto
4.5,50.8,ralston and miyamoto
4.7,51.2,ralston and miyamoto
4.1,51.4,ralston and miyamoto
5.5,51.5,ralston and miyamoto
4.7,51.9,ralston and miyamoto
10.6,52.2,ralston and miyamoto
7.9,53.2,ralston and miyamoto
5.5,58.9,ralston and miyamoto
12.7,61.7,ralston and miyamoto
10.5,62.2,ralston and miyamoto
9.2,64.1,ralston and miyamoto
14.7,65.3,ralston and miyamoto
10.3,66.3,ralston and miyamoto
16.6,68.5,ralston and miyamoto
7.5,68.7,ralston and miyamoto
7,50.7,andrews bomb carbon
9.2,57.7,andrews bomb carbon
9.5,56.4,andrews bomb carbon
13.9,62.6,andrews bomb carbon
13.9,65.5,andrews bomb carbon
14.9,57.7,andrews bomb carbon
20.7,72.9,andrews bomb carbon
20.8,72.1,andrews bomb carbon
21,66.5,andrews bomb carbon
21.1,66,andrews bomb carbon
21.6,73.8,andrews bomb carbon
22.8,70.2,andrews bomb carbon
24.8,71.6,andrews bomb carbon
26.8,74.2,andrews bomb carbon
27.4,67.3,andrews bomb carbon
27.8,68.2,andrews bomb carbon
31.9,74.6,andrews bomb carbon
32.2,72.3,andrews bomb carbon
34.4,76.8,andrews bomb carbon
35.4,71.9,andrews bomb carbon
41.9,71.8,andrews bomb carbon
43.1,73,andrews bomb carbon
11.1,57.6,andrews bomb carbon
22.6,60,andrews bomb carbon
21.7,60.3,andrews bomb carbon
15.1,60.4,andrews bomb carbon
22.2,62.7,andrews bomb carbon
13.1,63.1,andrews bomb carbon
27.7,64.2,andrews bomb carbon
12.8,64.9,andrews bomb carbon
16.6,65.6,andrews bomb carbon
15.1,66.2,andrews bomb carbon
21.6,67.2,andrews bomb carbon
45.9,72.1,andrews lead radium
42.6,67,andrews lead radium
23.9,60.9,andrews lead radium
