date,length,month,year,month_year
1989-10-01,8,October,1989,Oct-89
1989-10-01,9,October,1989,Oct-89
1989-10-01,9,October,1989,Oct-89
1989-10-01,10,October,1989,Oct-89
1989-10-01,11,October,1989,Oct-89
1989-10-01,11,October,1989,Oct-89
1989-10-01,11,October,1989,Oct-89
1989-10-01,11,October,1989,Oct-89
1989-10-01,11,October,1989,Oct-89
1989-10-01,11,October,1989,Oct-89
1989-10-01,11,October,1989,Oct-89
1989-10-01,12,October,1989,Oct-89
1989-10-01,13,October,1989,Oct-89
1989-10-01,13,October,1989,Oct-89
1989-10-01,14,October,1989,Oct-89
1989-10-01,15,October,1989,Oct-89
1989-10-01,15,October,1989,Oct-89
1989-10-01,15,October,1989,Oct-89
1989-10-01,15,October,1989,Oct-89
1989-10-01,15,October,1989,Oct-89
1989-10-01,15,October,1989,Oct-89
1989-10-01,15,October,1989,Oct-89
1989-10-01,15,October,1989,Oct-89
1989-10-01,16,October,1989,Oct-89
1989-10-01,16,October,1989,Oct-89
1989-10-01,16,October,1989,Oct-89
1989-10-01,16,October,1989,Oct-89
1989-10-01,16,October,1989,Oct-89
1989-10-01,16,October,1989,Oct-89
1989-10-01,16,October,1989,Oct-89
1989-10-01,17,October,1989,Oct-89
1989-10-01,17,October,1989,Oct-89
1989-10-01,17,October,1989,Oct-89
1989-10-01,17,October,1989,Oct-89
1989-10-01,17,October,1989,Oct-89
1989-10-01,17,October,1989,Oct-89
1989-10-01,17,October,1989,Oct-89
1989-10-01,17,October,1989,Oct-89
1989-10-01,17,October,1989,Oct-89
1989-10-01,17,October,1989,Oct-89
1989-10-01,17,October,1989,Oct-89
1989-10-01,17,October,1989,Oct-89
1989-10-01,17,October,1989,Oct-89
1989-10-01,17,October,1989,Oct-89
1989-10-01,17,October,1989,Oct-89
1989-10-01,17,October,1989,Oct-89
1989-10-01,17,October,1989,Oct-89
1989-10-01,17,October,1989,Oct-89
1989-10-01,18,October,1989,Oct-89
1989-10-01,18,October,1989,Oct-89
1989-10-01,18,October,1989,Oct-89
1989-10-01,18,October,1989,Oct-89
1989-10-01,18,October,1989,Oct-89
1989-10-01,19,October,1989,Oct-89
1989-10-01,19,October,1989,Oct-89
1989-10-01,19,October,1989,Oct-89
1989-11-01,8,November,1989,Nov-89
1989-11-01,9,November,1989,Nov-89
1989-11-01,9,November,1989,Nov-89
1989-11-01,9,November,1989,Nov-89
1989-11-01,9,November,1989,Nov-89
1989-11-01,10,November,1989,Nov-89
1989-11-01,10,November,1989,Nov-89
1989-11-01,10,November,1989,Nov-89
1989-11-01,10,November,1989,Nov-89
1989-11-01,10,November,1989,Nov-89
1989-11-01,10,November,1989,Nov-89
1989-11-01,10,November,1989,Nov-89
