"","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf"
"result.1",58.27453451491,5.25911376861694,0.349961343481513,0.870133624712809,0.194733663150438,1.88479233288978,0,0,0,0
"result.2",58.7388916771076,5.72651910652911,0.330495078023184,0.904658230760837,0.218018054671184,1.70474705316579,0,0,0,0
"result.3",58.5640774692415,5.17514562950778,0.344336583551118,0.870649681332175,0.199558208444598,2.2616709090196,0,0,0,0
"result.4",59.1905459672244,4.74681619984412,0.314492511197007,0.958228662451618,0.174403844531591,2.11006652562117,0,0,0,0
"result.5",58.1182229984582,5.67603760537745,0.342632702272208,0.893423175635796,0.227240812711734,1.81344092015201,0,0,0,0
"result.6",59.7377038341784,5.93458752379286,0.329479774080971,0.891236523067012,0.226114296796225,1.94707168149012,0,0,0,0
"result.7",56.4299515935263,5.42931181077811,0.377261678509632,0.83655628316346,0.223478391077038,1.86241571090311,0,0,0,0
"result.8",64.3250460339659,4.80576446883697,0.23187740860294,1.1310252669426,0.144897246243334,2.64995865767792,0,0,0,0
"result.9",64.0214924526691,5.36955227959322,0.266457015333817,0.984157642228025,0.171985774637543,2.15967618303031,0,0,0,0
"result.10",59.0611338924679,5.67629944626922,0.319448447954704,0.955396515689756,0.218212154818128,1.98745558698641,0,0,0,0
"result.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.12",61.2581081887365,5.91335817910127,0.302116230438984,0.908190881032622,0.199620446978921,1.94579062253796,0,0,0,0
"result.13",64.0627519884413,5.47880148231381,0.268301568015833,0.986506586682379,0.180621129066961,1.89568965123986,0,0,0,0
"result.14",58.9487293194842,5.94067392239937,0.347269599919482,0.840680813844243,0.223170421035038,1.95648044148333,0,0,0,0
"result.15",63.5359749320445,4.3669948575702,0.264817359892123,1.00980927845526,0.170393605981562,2.33638634464394,0,0,0,0
"result.16",61.9291134268842,5.23608088657924,0.278748051206417,0.993923043158229,0.191160350056727,1.96545773755639,0,0,0,0
"result.17",60.8171445996989,4.69684509038077,0.302617570677932,0.917481505632189,0.160656540470496,2.24895613144855,0,0,0,0
"result.18",62.3430067661783,5.66032798072422,0.281829110833762,0.969786221699473,0.187538706626801,2.15043924660641,0,0,0,0
"result.19",57.9035140291031,5.15562180536998,0.360562890476465,0.84077730917154,0.208841212430837,1.98302871230964,0,0,0,0
"result.20",57.5476630272231,5.82101378830179,0.356204459416423,0.863760340332852,0.240019159973456,1.56524547289383,0,0,0,0
"result.21",61.4069459252923,4.98895577836332,0.28400583745153,0.979501261013135,0.179326341712286,2.30401928761891,0,0,0,0
"result.22",57.0954424629844,4.93093716725939,0.367898071849624,0.849320246676676,0.218936227925402,1.76744482009816,0,0,0,0
"result.23",59.3195177315346,4.33392326238273,0.321185897944964,0.91015891418206,0.173541425336954,2.3008609510484,0,0,0,0
"result.24",59.5149316200629,5.75085948778197,0.323901466493798,0.904904941458115,0.201066571621578,1.81458629326182,0,0,0,0
"result.25",63.0902485704036,5.14518844010903,0.26448237098311,1.02118032648452,0.168871920243183,2.289939427629,0,0,0,0
"result.26",62.7180104717375,4.94310915274655,0.271090036934179,0.981819131096144,0.162315441669872,2.22597562778268,0,0,0,0
"result.27",62.335881493337,5.0741984074986,0.275272006218391,0.999042740099874,0.182496171111966,2.40813580141603,0,0,0,0
"result.28",55.7035398714748,5.64737794225,0.388315205712176,0.807761256959524,0.235519746349632,1.39040886782286,0,0,0,0
"result.29",60.1245107009168,4.41757029941599,0.316228606433036,0.898996083707005,0.183945068793852,2.04770040515985,0,0,0,0
"result.30",60.4425637187631,5.24555307824461,0.301712878154546,0.961529111111044,0.197951594315657,1.91369759013043,0,0,0,0
"result.31",59.2735451423632,4.51353793374956,0.310188911262184,0.966322397744482,0.190667681136475,2.13637328740727,0,0,0,0
"result.32",60.0093568652406,5.53406360021192,0.321112880689737,0.901422010055346,0.208011422512033,1.86443669717548,0,0,0,0
"result.33",61.2072518587915,4.41900595837916,0.291864328647313,0.960762441328686,0.165193774898358,2.56327577940158,0,0,0,0
"result.34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.35",63.4013289164216,4.65048609790578,0.265548952281971,1.01495565955433,0.166844429300824,2.22972441081254,0,0,0,0
"result.36",62.0983395282274,4.66898155156388,0.293706799527765,0.94068029849351,0.187006503391431,2.22463987859625,0,0,0,0
"result.37",55.9486572548276,4.83368158038299,0.400693690719291,0.796016468721071,0.235080824922226,1.52226098811027,0,0,0,0
"result.38",61.4529910575425,4.83873548890634,0.290714874161605,0.938582315658496,0.151848489914733,2.49120439502251,0,0,0,0
"result.39",63.6030197068804,5.7538567881411,0.259830600811824,1.0288995247647,0.181461274525324,1.89867582393708,0,0,0,0
"result.40",66.6825650934664,5.07373424797512,0.229331654041976,1.09961829118843,0.140759825311558,2.61495071662677,0,0,0,0
"result.41",65.9269650107074,5.35990730805463,0.230082489776077,1.08681960494868,0.171337163207872,2.57452936170434,0,0,0,0
"result.42",61.0146040535331,5.60121108594864,0.3005239948274,0.947664938241077,0.19856335713291,1.9305172396663,0,0,0,0
"result.43",59.8189860899977,5.5792236854081,0.326564611826386,0.882496944897335,0.209010576476463,1.94481883405693,0,0,0,0
"result.44",57.5670014720464,5.31511900483618,0.359731231444266,0.82750414338311,0.195215561219754,1.90851978913396,0,0,0,0
"result.45",57.312493917814,5.2730374352638,0.360646503981478,0.869119431664186,0.215307183315311,1.8284928226992,0,0,0,0
"result.46",57.8545874968161,5.82501682915188,0.356738736093976,0.836244289452023,0.219200001445179,1.64480412485312,0,0,0,0
"result.47",67.6787123376065,5.208466722406,0.224500230860095,1.08021539499419,0.157144599671874,2.46812843907129,0,0,0,0
"result.48",57.735024288629,4.89201215211422,0.363453787427392,0.845616021819615,0.214886842852947,1.76005635905627,0,0,0,0
"result.49",57.4233276012678,5.375876066006,0.350947272459363,0.870293592037273,0.228716686830792,1.68616714171542,0,0,0,0
"result.50",64.5326260986514,5.21377612397803,0.245773293234218,1.07342899727098,0.166403531594708,2.56648767112583,0,0,0,0
"result.51",58.3422389494718,5.09167039472115,0.354932355348289,0.847296088050847,0.195724869446517,2.20747429037541,0,0,0,0
"result.52",62.5595518130942,4.92786556745553,0.276691277850398,0.971043484918701,0.184202599790647,2.35831984564236,0,0,0,0
"result.53",63.0753719416685,4.81775025363053,0.266844389106394,1.00050171565979,0.17200225934914,2.23733068957383,0,0,0,0
"result.54",65.9846356985319,5.26667433495955,0.23121191019891,1.09076821852874,0.174950644130144,2.63429729982484,0,0,0,0
"result.55",60.6161863179241,5.49766422309582,0.314252588411839,0.900672185395478,0.217804930877801,1.97474774007152,0,0,0,0
"result.56",61.9166073646767,5.91418448910105,0.284766610049718,0.971265516403815,0.188048077845817,2.04777806012572,0,0,0,0
"result.57",58.5807850094968,5.61160332485602,0.32181186263322,0.938979553956902,0.215900558594393,1.65703296800789,0,0,0,0
"result.58",59.2427173570544,4.94364089736609,0.312663515881221,0.951235339799054,0.185446424121894,1.97604123961595,0,0,0,0
"result.59",65.34585867665,4.57077243747819,0.236715963841099,1.0791472648835,0.146255786655445,2.52138786658819,0,0,0,0
"result.60",61.4501869954351,5.07795277694037,0.288424869335808,0.98071611625284,0.162999328030113,2.18354070869141,0,0,0,0
"result.61",61.8668667839093,5.44414057497667,0.291719131700416,0.946773210890735,0.195903437918229,2.02713733381267,0,0,0,0
"result.62",60.6593226199107,5.20876614873136,0.305009448458105,0.940630940114113,0.202081189844525,1.88090596145986,0,0,0,0
"result.63",58.1220806002304,5.38895797407324,0.360868643637074,0.827013167888387,0.208762047892359,1.99734376672324,0,0,0,0
"result.64",63.9895347415831,5.81452868683512,0.245120892529074,1.09131819528469,0.1811650572048,1.99676515419174,0,0,0,0
"result.65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.66",60.0132960892175,5.31053134320873,0.311721366539458,0.957503583995149,0.187742607845335,2.02672564049469,0,0,0,0
"result.67",65.5354284094673,5.12233447466175,0.235644963590411,1.09327571436546,0.17926077364512,2.52618858304147,0,0,0,0
"result.68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.70",61.0361411226131,6.32848116566509,0.299300729552416,0.942802465189416,0.213110030774682,1.88939801144135,0,0,0,0
"result.71",61.7400103846069,4.75091546611746,0.279839156914235,0.997756127176265,0.193863018651464,2.02892455022941,0,0,0,0
"result.72",64.8674708396543,4.87637108808319,0.238669403461351,1.0933432981977,0.177786011091243,2.457224142927,0,0,0,0
"result.73",62.4378799502772,5.30019022853088,0.266185733563304,1.03515029975195,0.197060086848673,2.38032851821982,0,0,0,0
"result.74",65.9897365983236,5.35063374701801,0.230847784792666,1.08737096481911,0.161567534487876,2.47682055407835,0,0,0,0
"result.75",58.0873066045995,4.76086772586059,0.327813050281665,0.929175180511319,0.174904148981911,2.19897392551902,0,0,0,0
"result.76",58.8650174199564,5.19046046760585,0.347111770778999,0.859636782385354,0.225243496681982,2.00629992472261,0,0,0,0
"result.77",62.1602474910164,5.61853046609404,0.286772318447672,0.959655658232274,0.168507677027811,2.12633521611213,0,0,0,0
"result.78",65.2039748686081,4.40454168781806,0.250993211478009,1.01706984245498,0.183197166221653,2.04351176045652,0,0,0,0
"result.79",72.4660729979419,6.4089590258787,0.178706396411979,1.2214677729843,0.132637422297385,2.54639198696887,0,0,0,0
"result.80",60.8630055528664,5.20252408984353,0.298751895126062,0.938442263860445,0.193352132900301,2.02243343620182,0,0,0,0
"result.81",58.3377496924635,5.85172266508278,0.34179660255794,0.892134004634027,0.202023626059464,1.82045398683501,0,0,0,0
"result.82",61.2909913561857,4.86653153454939,0.275689227881174,1.04689593350074,0.189256986498072,2.12514942744037,0,0,0,0
"result.83",60.4486023649215,5.18642831212104,0.312941715130601,0.930848699864362,0.215954094312995,1.95739857506246,0,0,0,0
"result.84",57.9122741641985,5.56666802214689,0.356498654550457,0.846083551712113,0.216569251216745,1.52052070948798,0,0,0,0
"result.85",65.0039547958645,4.42764292656106,0.248445444769187,1.03469843214464,0.169852543867728,2.44643244659588,0,0,0,0
"result.86",64.5275336740699,4.6032506146786,0.252768171970781,1.0512850800209,0.188762348220312,2.31403940234572,0,0,0,0
"result.87",62.478254404524,5.37689422952179,0.27486754473239,0.98646862220732,0.147324089315158,2.10739288549976,0,0,0,0
"result.88",61.6297541556605,5.41761797367502,0.298833654481824,0.942477726825206,0.194284077432616,2.03712351646002,0,0,0,0
"result.89",55.520210229219,5.53177498596169,0.398801693080935,0.824625835462512,0.230159409556223,1.69171481231224,0,0,0,0
