"","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf"
"result.1",60.0632751790165,5.25343652199208,0.308088150732745,0.95613366653444,0.203312843106868,1.95103839585604,0,0,0,0
"result.2",55.5437231131857,5.34830693006239,0.40602471425385,0.804282090496584,0.232086635149152,1.6229146198648,0,0,0,0
"result.3",55.7272267935569,5.23828760784963,0.382794263875184,0.851693655610643,0.23831126662014,1.75882091999273,0,0,0,0
"result.4",58.523518602743,5.29491787160782,0.34497150729184,0.867303925782767,0.194511963880129,2.36254315569689,0,0,0,0
"result.5",57.2511970042467,5.60276164802439,0.373548513464989,0.845012622549021,0.25006203710533,1.49796521992395,0,0,0,0
"result.6",65.9994763719732,4.95298972733018,0.234044582653528,1.07064048442571,0.165769337359159,2.42259305394407,0,0,0,0
"result.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.8",64.0607851071522,5.30544971120264,0.260812446358573,1.01939135418899,0.189548490620183,1.92571641633388,0,0,0,0
"result.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.10",59.9786981913986,5.28347801284204,0.32423150029853,0.891306803450297,0.187600991032378,2.17546166397692,0,0,0,0
"result.11",61.2798431681649,5.01726030475352,0.289252585415918,0.952295657779104,0.186720300041403,1.8948813183807,0,0,0,0
"result.12",58.478494318017,5.25544245294151,0.357507807775527,0.851335194143547,0.220876290404415,1.86743705696319,0,0,0,0
"result.13",61.5658987266023,4.74094775338448,0.282199002044324,0.99016304605638,0.194644763862986,2.23513815538134,0,0,0,0
"result.14",60.6173544894234,5.4788852011057,0.306497025409921,0.949411907882785,0.178166614490779,2.15151839034095,0,0,0,0
"result.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.16",61.1553962697976,4.94051298544968,0.297712223013186,0.958090654407298,0.149810868330687,2.33186827736077,0,0,0,0
"result.17",62.9977268552546,5.22002662869143,0.276099411184378,0.998634507319682,0.201449159991808,2.24019671005351,0,0,0,0
"result.18",58.5704109155969,5.66130631432567,0.337517583208028,0.87419604793001,0.225742104181143,1.66354848720429,0,0,0,0
"result.19",60.3722616494949,5.36763291852094,0.308881431831186,0.943527274550192,0.210792468670206,2.0688103049703,0,0,0,0
"result.20",60.6696015562723,5.25351754185146,0.298269106798089,0.954248302580908,0.184173728588347,2.04928632259022,0,0,0,0
"result.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.22",58.3868467251889,4.80815790045612,0.334003629861411,0.896172005018419,0.173565238229179,1.99595396599198,0,0,0,0
"result.23",63.3464427824935,4.68727583938744,0.261704034315165,1.01486027989089,0.142068671965312,2.49246834617199,0,0,0,0
"result.24",62.6904016753353,5.44900495282287,0.277555208752804,0.979630100338046,0.19413334279923,2.30503398053502,0,0,0,0
"result.25",60.9479523290838,5.54834575623901,0.313177086448179,0.915836703876955,0.235384188530945,1.8106706347196,0,0,0,0
"result.26",65.1638356214828,4.90668400007169,0.253442542921165,0.99927388732004,0.169602370893421,2.50457291601665,0,0,0,0
"result.27",57.8590060393457,5.38074227302643,0.357164912990286,0.840110208947968,0.231087969518171,1.61681636400441,0,0,0,0
"result.28",64.1474027785174,5.02470187615377,0.254221555223055,1.03129826071259,0.198695172706027,2.0734062218635,0,0,0,0
"result.29",60.280137231813,5.50327090854897,0.31978022801094,0.879450911117495,0.17846182703161,2.02966762943058,0,0,0,0
"result.30",54.8428169272999,5.46110104758425,0.438854641451663,0.747927747505861,0.252569702520336,1.83336197253032,0,0,0,0
"result.31",60.0389062171841,5.71056033955807,0.299120231836619,0.985578264025199,0.181212340192797,2.23249446135913,0,0,0,0
"result.32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.33",59.515559775851,5.98550250345868,0.323595773091779,0.904368730031267,0.21264461189015,1.68969827530482,0,0,0,0
"result.34",60.2924658820525,5.56502780963585,0.304712002187441,0.927309813030739,0.199158119074372,1.94929752067051,0,0,0,0
"result.35",62.3224728652771,4.81556953376327,0.266423663229636,1.02952757528625,0.171189531297374,2.38248500004301,0,0,0,0
"result.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.37",60.1916103495029,4.90149582921811,0.307682027565051,0.93598765154587,0.206485639114441,1.67127790531232,0,0,0,0
"result.38",56.9783557960819,5.45113242736215,0.377235548480234,0.809880021910445,0.220532103859387,1.72056116573182,0,0,0,0
"result.39",64.395575830504,5.08167754229147,0.25779175434455,1.01013876558215,0.16726202387513,2.36621849521566,0,0,0,0
"result.40",58.8894590671149,4.90630604361598,0.335889303483778,0.865647891137201,0.215293468010217,1.94315642387251,0,0,0,0
"result.41",60.3972943333719,5.0258847843384,0.29956571276506,0.972390947204648,0.192669511277931,1.95218217914764,0,0,0,0
"result.42",55.9918279887232,5.5846336563576,0.412421830809128,0.789630018864316,0.252231676366271,1.36792941065446,0,0,0,0
"result.43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.44",58.6555388913561,5.79304351172468,0.34878285654959,0.849714493319973,0.2242106390491,1.79458074467612,0,0,0,0
"result.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.46",59.9209997065096,5.09092340718862,0.306521582728152,0.946359341702968,0.177729899045293,1.98131836207701,0,0,0,0
"result.47",60.1592182999268,5.59832307637308,0.329668944919559,0.879522719835225,0.233251066487736,1.56223799852499,0,0,0,0
"result.48",62.4565978082139,5.58628510781741,0.278243877718781,0.996095541544061,0.172171552147789,2.02291579018638,0,0,0,0
"result.49",65.3318981968034,5.01326547937909,0.256314848295547,0.977331558589909,0.150358586232313,2.36694768217399,0,0,0,0
"result.50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.51",62.9062268953159,5.17984602407435,0.273948534771741,0.973767458174118,0.176028460337118,2.1710768310791,0,0,0,0
"result.52",62.5819952022632,4.69777147280367,0.275169408777995,0.98454818742089,0.168992397613976,2.20315470792251,0,0,0,0
"result.53",62.1610233574995,4.7517378638872,0.278292424067295,1.01676728291305,0.21433964108983,2.0478506282786,0,0,0,0
"result.54",61.4077730430956,4.89536385845727,0.282393900570308,0.98338216396338,0.18727342769798,2.1531994152116,0,0,0,0
"result.55",62.7723528480613,4.83852341842451,0.262422149714055,1.0409914226402,0.170538351554918,2.53114898118417,0,0,0,0
"result.56",66.1086880110922,4.66015958548828,0.225354350381936,1.12198404621575,0.148038448256782,2.40516945202804,0,0,0,0
"result.57",56.4622824784436,5.6921276320602,0.386495217724423,0.805902300421951,0.237042453672219,1.48975689238337,0,0,0,0
"result.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.59",66.2189077254021,5.34740563585392,0.238216521164504,1.02746607866365,0.1687877149438,2.24120227808446,0,0,0,0
"result.60",64.9801119420316,5.06734768527253,0.243875681808066,1.07256549886787,0.167021805697849,2.2513109944293,0,0,0,0
"result.61",60.6163095786549,4.71954488176589,0.290076687284278,0.995348054687512,0.178303770953032,2.09518602060494,0,0,0,0
"result.62",63.9239223684868,6.07223424630243,0.265257915831264,1.02009482473613,0.185697555571407,1.92573173284843,0,0,0,0
"result.63",61.6122562110413,5.44602321573227,0.285750867162161,0.977024613313074,0.185384533745527,2.09978174185193,0,0,0,0
"result.64",62.0091991444166,5.33034991582624,0.282499911140013,0.971568266711112,0.166165719753296,2.40710620157884,0,0,0,0
"result.65",60.4849258516779,5.47030187069055,0.305533991661862,0.925429426629313,0.180342308249272,2.13408061778269,0,0,0,0
"result.66",60.2453504597698,5.13167634275784,0.319393717642793,0.901847473486453,0.21315100413214,1.99006236038697,0,0,0,0
"result.67",63.0691070235124,5.19022247293692,0.269400025112041,0.991257219274287,0.175416649770947,2.26616400806264,0,0,0,0
"result.68",62.3179076407349,5.38252505219247,0.279421768916503,0.981125236437764,0.180179341523553,2.50507365138767,0,0,0,0
"result.69",58.3805434856738,5.77638194504843,0.344716109257584,0.890601569888089,0.237993920347074,1.61837053322408,0,0,0,0
"result.70",63.561706991946,6.01710207304663,0.26218498675012,1.03416150355803,0.200009875695308,1.95376018491515,0,0,0,0
"result.71",59.0453049123406,4.56583411312984,0.3306938565307,0.895838058905945,0.217986901195386,1.98725636005319,0,0,0,0
"result.72",59.3988638146591,5.32070789700802,0.314260775273669,0.947980111686008,0.210302790606589,1.86286271935341,0,0,0,0
"result.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.74",60.5331474489661,5.28849080267398,0.307388463729904,0.915723191726137,0.192525615124685,2.06874352921225,0,0,0,0
"result.75",63.0161431151849,5.36208571231335,0.256321542726459,1.07279451414698,0.178115318100654,2.22112892318358,0,0,0,0
"result.76",59.5313709161991,5.78203049522165,0.321081079295763,0.938963211035013,0.214575013072759,1.82938682810256,0,0,0,0
"result.77",65.2737724747975,4.75662922004268,0.243915850803054,1.03045503053229,0.153624039815417,2.44127281473878,0,0,0,0
"result.78",63.8006550769674,5.32891822449077,0.266773864105358,0.996722897023442,0.176502976271249,2.26253383777799,0,0,0,0
"result.79",59.9006189660501,5.42175201169507,0.304225302221906,0.951851549560461,0.201075067825631,2.09257726738827,0,0,0,0
"result.80",61.1767664377064,5.8507983711092,0.303330786604036,0.946591791279246,0.202544933577403,1.97534501046124,0,0,0,0
"result.81",59.1133263993136,5.42643094386475,0.322848448736454,0.928776950198324,0.189973684097062,1.9321733587116,0,0,0,0
"result.82",63.4091790805769,5.73899674034969,0.2831132374538,0.940037962518821,0.203467974368255,2.01677355274973,0,0,0,0
"result.83",65.1024697183808,5.48069112411524,0.243620668049769,1.04165887983887,0.163677857421823,2.19589030672699,0,0,0,0
"result.84",59.4898364084034,5.53071640560059,0.322409135221235,0.899540619511702,0.215292066252113,1.813581832454,0,0,0,0
"result.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.86",65.096739609684,5.32526679274148,0.245089143944613,1.06250922915231,0.184333296007794,2.51578127521755,0,0,0,0
"result.87",66.5541341023157,4.99856612614364,0.227854070336269,1.09251684355178,0.147810312006661,2.56884227499561,0,0,0,0
"result.88",59.4232251805621,5.10261276496743,0.315328128925742,0.939721890821688,0.187227270302561,2.10793613756485,0,0,0,0
"result.89",58.4220286378471,5.96491288927994,0.343537133048369,0.882830706791643,0.227284509920584,1.88244939167535,0,0,0,0
"result.90",64.7871647097671,5.14485524886569,0.249170807252471,1.03537505596232,0.17049716603762,2.50324489535936,0,0,0,0
"result.91",62.0625034007692,5.17046153429931,0.277790427055644,0.997296486625517,0.192991908629562,2.27246830517791,0,0,0,0
"result.92",59.7937733251854,5.57767841589334,0.33049149085422,0.911364773173472,0.215125208067309,1.86738947905827,0,0,0,0
"result.93",66.1346304507908,4.72847563421062,0.235824133003233,1.05111007084431,0.164854192344918,2.46198300829981,0,0,0,0
"result.94",67.6346128298253,5.76277476005249,0.220331561900629,1.10082524211969,0.179599686466459,2.21525373451095,0,0,0,0
"result.95",59.9164006005723,5.0016006410163,0.317626242729373,0.912746589350351,0.19650158627543,2.09574881182217,0,0,0,0
"result.96",59.303956534695,5.93435512174959,0.338708942132191,0.875425742404223,0.219955582884554,1.99107760010683,0,0,0,0
"result.97",56.7486241015566,5.84801510885888,0.367154867806344,0.860263496453947,0.19966968541175,1.67507358535334,0,0,0,0
"result.98",63.2902727604773,5.36183384317952,0.268769213412713,0.989878063126649,0.178050825332142,1.87917399022129,0,0,0,0
"result.99",61.4893573068515,5.75460801425743,0.299288614481739,0.927794246568389,0.207894483322709,1.94334968882999,0,0,0,0
"result.100",60.1345063301548,5.01160559673277,0.317014119581021,0.897746685794675,0.196940823603636,2.17387316095815,0,0,0,0
"result.101",56.9510664679628,5.78337469668145,0.37244394324429,0.824542939176552,0.240428278753826,1.62159781962316,0,0,0,0
"result.102",61.3319398157844,4.91507502577387,0.29883818464443,0.920749338063589,0.16914021703825,2.05730495264509,0,0,0,0
"result.103",66.6200462108172,6.28390520332383,0.22944007219844,1.08844620260328,0.162747573997041,2.32485550304072,0,0,0,0
"result.104",66.844206065632,5.59164600717898,0.219266837878244,1.13784597927817,0.193305270464741,1.97662275300766,0,0,0,0
"result.105",60.0931052339987,5.67595581531217,0.306383057743345,0.93899199948476,0.206326527064205,2.08499519185325,0,0,0,0
"result.106",57.9153417023223,5.53669614120455,0.359301781892667,0.857944551355442,0.228142236159217,1.74263127301601,0,0,0,0
"result.107",65.7670182224635,5.23059386273234,0.228395527123542,1.11293875730096,0.179680395597151,2.45330670887824,0,0,0,0
"result.108",64.1809564500491,4.51718330260855,0.249730307054761,1.06053472568227,0.187020259853837,2.39905505436144,0,0,0,0
"result.109",64.5082115569771,5.30063259580607,0.251447224511127,1.06744361128437,0.179735749545046,2.27761131330821,0,0,0,0
"result.110",61.6988337620343,5.0533975039992,0.299788162435912,0.919487510280465,0.188962963546623,2.06176293925397,0,0,0,0
"result.111",59.0838394916963,4.76936819498205,0.318311525695055,0.904395930189457,0.176186960119649,2.14448395589413,0,0,0,0
"result.112",65.4471077667863,5.16602460215584,0.231573990704229,1.09250117673499,0.173174825760795,2.2018714453251,0,0,0,0
"result.113",60.8685351512827,5.19316348613178,0.308680433900882,0.912098762356218,0.186823927818603,2.149211256514,0,0,0,0
"result.114",59.6008293665792,5.40082257099648,0.316271057633048,0.954233858624226,0.180249483167565,1.94232561117564,0,0,0,0
"result.115",63.2453127671311,4.96225944951828,0.26571343726433,1.01366941932733,0.19350524465927,1.85757399208513,0,0,0,0
"result.116",62.933538516201,4.92584687969111,0.279319038746161,0.967858063288388,0.176587801175988,2.13782378577596,0,0,0,0
"result.117",60.6842922526386,4.91194330390122,0.306371620909735,0.937793426309391,0.181535110746761,1.90371866446092,0,0,0,0
"result.118",61.1578339781932,5.39490198537701,0.298233598087625,0.931036730810599,0.181302344214465,2.23615626714529,0,0,0,0
"result.119",59.7851811506991,4.88838732261581,0.311285996195816,0.957828245142472,0.200341471883654,2.14667155390869,0,0,0,0
"result.120",63.0405807055559,5.04297900755053,0.268267842416205,1.03102217370536,0.177660659756125,2.34322961603124,0,0,0,0
"result.121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.122",58.4352297773473,5.03732542898691,0.354448857546593,0.84203096395892,0.226651039122559,1.95440796850255,0,0,0,0
"result.123",60.6965503264293,5.44687081631746,0.298256866086413,0.948811195856664,0.189351191648213,1.89570632900437,0,0,0,0
"result.124",60.7514899177299,5.27230048501016,0.297248765777139,0.945958417662355,0.204795810945132,2.06134319287772,0,0,0,0
"result.125",59.8568415034768,5.68008130762365,0.325613169217396,0.902759628198103,0.211759818013848,1.92705084488143,0,0,0,0
"result.126",63.1185120845881,5.56740085182998,0.273300885297092,0.983618893820274,0.168164279895005,2.05046673055037,0,0,0,0
"result.127",60.3223571520007,5.16695613440129,0.304564893865716,0.923858582180364,0.201651100260045,1.93287977816087,0,0,0,0
"result.128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.130",58.7700304686239,5.06111727475109,0.330007886736521,0.890539772992522,0.186328609407102,2.12326376022011,0,0,0,0
"result.131",64.9918519174015,5.06151449939549,0.240376724762222,1.07284696163582,0.175201974047965,2.14333779331774,0,0,0,0
"result.132",61.615176840842,5.39835702639656,0.299275772137614,0.930167478394532,0.174331378180838,2.03386093814985,0,0,0,0
"result.133",58.2789242490648,5.95258944499481,0.358812116813299,0.844598297678118,0.225441450182354,1.66529750610822,0,0,0,0
"result.134",59.926093278066,5.94859893099489,0.323916008187021,0.8888550628974,0.208088172535489,1.88815065015583,0,0,0,0
"result.135",60.0928113206238,5.64939382083043,0.31825788088982,0.890324134567211,0.198343602723433,1.88415491505402,0,0,0,0
"result.136",57.8113215743116,5.37347062946048,0.330725485246671,0.922559595083938,0.216206564397027,1.71835481775089,0,0,0,0
"result.137",60.4326044947121,5.43437891920192,0.305203868979225,0.92903534795867,0.173903023544741,2.1655337036992,0,0,0,0
"result.138",62.0782963385383,5.5003053515683,0.284866636433697,0.949629085111178,0.198180570759872,1.99422989413098,0,0,0,0
"result.139",62.2017277130975,5.20879817558095,0.288509585523638,0.936527352001088,0.188650213598888,2.26042308755329,0,0,0,0
"result.140",59.4677271191822,5.44790784811554,0.326060770981963,0.904294093089818,0.200794813667761,1.99152772411936,0,0,0,0
"result.141",66.5169773324007,5.42715124384921,0.223691581420993,1.11714182906703,0.182597130966531,2.34927709668526,0,0,0,0
"result.142",61.8732075762849,5.30489781182681,0.290317404054473,0.956398397826464,0.182292538464272,2.09253847328658,0,0,0,0
"result.143",60.7425135762855,4.83572917341495,0.297004956155688,0.957996751252687,0.177348779463122,2.2614820488639,0,0,0,0
"result.144",57.6954302750341,6.0815037682162,0.36793993224098,0.837716131280652,0.235122347728686,1.67937307916111,0,0,0,0
"result.145",57.5617758702183,5.12768952584868,0.352176370679293,0.870733570584877,0.206542633216953,1.93629938948271,0,0,0,0
"result.146",56.9672436632547,4.65278814827032,0.368124597412502,0.806740444737659,0.193202851325011,1.83798244778031,0,0,0,0
"result.147",60.7196648395762,5.22926183440262,0.298726922120615,0.949097787060174,0.196045319739792,1.98704450415714,0,0,0,0
"result.148",59.9174387234582,6.13677979940942,0.330690511715239,0.876018259496657,0.224999679582077,1.38169721672181,0,0,0,0
"result.149",58.0612371310789,5.01712663508912,0.354060264620177,0.829210135339029,0.200488964008139,2.16861421484683,0,0,0,0
"result.150",56.7830900711851,5.34257620759298,0.367425101866062,0.85332035174175,0.232792794914846,1.667000202588,0,0,0,0
"result.151",59.556196867527,4.88270530055349,0.317531005198481,0.935611711676073,0.170325222849516,2.12149306105552,0,0,0,0
"result.152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.153",56.8074660743786,5.23146984633059,0.390062128322788,0.802057241600765,0.250246012062363,1.94596930110267,0,0,0,0
"result.154",62.5520737200379,4.94208929476208,0.275775207851367,0.97749993225861,0.173224891778356,1.87548857597425,0,0,0,0
"result.155",64.3621017510325,5.27521730745681,0.274434750477091,0.958458515296642,0.158532113093603,2.48557622548995,0,0,0,0
"result.156",60.563198580276,5.34421689400639,0.30598469774283,0.93868704567161,0.227912474616208,1.8861449810676,0,0,0,0
"result.157",61.5358237903136,5.57055712669667,0.296435619960725,0.946101083149888,0.214314986997762,1.88631307617812,0,0,0,0
"result.158",62.0378733778708,5.16022133503541,0.288362343052244,0.954477426685737,0.184364953279587,2.29249546017279,0,0,0,0
"result.159",62.8725823347153,5.03954767444839,0.26835470364417,0.999168991026405,0.150269378543564,2.14739662537605,0,0,0,0
"result.160",65.2320903638517,4.58385768201922,0.245749264574273,1.04532317992073,0.16062142376448,2.63676649669633,0,0,0,0
"result.161",60.9665176499458,5.18432823793237,0.301644146643719,0.932578116736932,0.18998038762367,2.21559804932465,0,0,0,0
"result.162",58.5059869407163,5.13039794264242,0.34929963819711,0.86682950880937,0.20816333090399,1.88771628602948,0,0,0,0
"result.163",62.4921489416882,5.40257537759673,0.273936669217626,1.00383449724636,0.198844249144936,1.96387950828848,0,0,0,0
"result.164",57.0548040959459,5.50250304013033,0.364272094671531,0.832895771066967,0.205808315117388,1.71462882241481,0,0,0,0
"result.165",61.0967510596034,4.93631970848456,0.283125304756764,1.02354857035357,0.197613575291781,2.27159612176506,0,0,0,0
"result.166",56.328279448665,5.42284857574216,0.384557659928985,0.823962304858723,0.247783480602173,1.73466993592752,0,0,0,0
"result.167",61.8512213687667,4.51865454343505,0.283468773377738,0.970440480908833,0.171654977006152,2.12742138342053,0,0,0,0
