"","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf"
"result.1",61.7362045894421,5.64052019032032,0.274634549863651,1.01328977854194,0.181498254957191,1.95177008461928,0,0,0,0
"result.2",56.3958070747759,5.93754981815084,0.375084227526767,0.848179845348317,0.213522745301948,1.52375339116675,0,0,0,0
"result.3",55.6293709263167,5.94655613547937,0.412405951455928,0.784927982836945,0.270643248178552,1.4588074968142,0,0,0,0
"result.4",64.460671904231,6.39261589785462,0.252413894933383,1.02024184921415,0.166362323790223,2.0688769371014,0,0,0,0
"result.5",62.1678126187263,5.82048535937591,0.278029514755039,1.01216522536304,0.213314187382373,1.95858148117326,0,0,0,0
"result.6",64.5661255822719,5.57091973943161,0.241227962925317,1.07248282781177,0.162808162573739,1.97875306861102,0,0,0,0
"result.7",59.1863756837275,5.62563060539915,0.33289280282324,0.903471855947754,0.215886299594611,1.4141510931793,0,0,0,0
"result.8",61.295193678902,5.52230963869802,0.305417938503871,0.921453814109326,0.200306767622684,1.81277557709747,0,0,0,0
"result.9",65.0915135581029,6.4792530467756,0.235721371594335,1.09936833111145,0.179094702547057,2.12058362796919,0,0,0,0
"result.10",61.0548951872749,4.52678494766207,0.279617807476216,0.99210416896227,0.170300746787328,2.13636906947934,0,0,0,0
"result.11",59.9940130507185,5.68036098561757,0.324250267016113,0.886770657933584,0.175554467232491,1.85743232655089,0,0,0,0
"result.12",66.3163908065458,4.87451025719359,0.233972853075651,1.05405584510641,0.180419121698096,2.4017313834912,0,0,0,0
"result.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.14",61.1525836755934,5.48298051002712,0.283560066563666,1.01191911572195,0.195905335633859,2.03031190315902,0,0,0,0
"result.15",64.7738261448256,5.28522949497151,0.233173828742118,1.11225313266713,0.15564440631868,2.27585174083203,0,0,0,0
"result.16",62.508961238562,5.54350452705736,0.271061289618255,1.01082407224559,0.198922037801517,2.16398026809099,0,0,0,0
"result.17",54.3359148028523,5.62250279977206,0.432667307160779,0.759335831484346,0.272158693864419,1.38679282766764,0,0,0,0
"result.18",68.3185808655564,4.63169301257645,0.20885381426098,1.13688390550668,0.130900188235195,2.71742855910525,0,0,0,0
"result.19",63.5887833806853,5.8812512654954,0.255855340040745,1.05589387768348,0.166033382067617,2.29294828706,0,0,0,0
"result.20",62.9674446183128,5.85903107738248,0.269913049270988,0.999045775676841,0.191116155344053,2.22136215545855,0,0,0,0
"result.21",66.8646621481236,4.93162991383588,0.221503159302053,1.11421909114246,0.138238934558046,2.23889776890378,0,0,0,0
"result.22",64.6385214101453,5.51716187494963,0.240820431248729,1.07866584419374,0.172182737748481,2.20682641142587,0,0,0,0
"result.23",54.6049421218347,5.66597966700766,0.442556640671432,0.72278455012061,0.268102291160581,1.4229016814945,0,0,0,0
"result.24",59.4124443916115,5.73250905124971,0.310943877212033,0.979889981638661,0.195717704807317,2.06552722412603,0,0,0,0
"result.25",58.2147410411073,5.84359734536821,0.343894299651133,0.898090991177446,0.245120254394627,1.49215118850413,0,0,0,0
"result.26",60.5870263316195,5.00317489610889,0.30031396171674,0.96649690871797,0.188516462986135,2.26650850590813,0,0,0,0
"result.27",55.2429894620234,6.04212976406104,0.412748046796554,0.785134772885304,0.275770946151041,1.18957515649588,0,0,0,0
"result.28",58.8637803815191,6.20336881417713,0.313660885197378,0.996559086294522,0.233061249353693,1.63062685078052,0,0,0,0
"result.29",61.8823666515925,5.71077064637581,0.298400685812589,0.936899158007453,0.193365348018774,1.7553941438353,0,0,0,0
"result.30",63.0316628139922,4.80489993075687,0.26583876139988,0.997031910319326,0.19601255957514,1.91922161672325,0,0,0,0
"result.31",59.5235650370241,5.00663168130559,0.325985895808976,0.852763617709098,0.177730156895519,2.44516528395683,0,0,0,0
"result.32",61.8576775926645,4.56428998592668,0.272255044734696,1.00487722041389,0.153620804661441,2.4742393430179,0,0,0,0
"result.33",54.7201875804815,4.96359357480335,0.42131874917135,0.792916999398245,0.233291880110918,1.72523463590016,0,0,0,0
"result.34",65.3296920589645,4.87152549889157,0.228961953896359,1.12098697211844,0.170581083180871,2.42185640866029,0,0,0,0
"result.35",61.3156645437129,5.47093123095384,0.309517230658583,0.929059336747577,0.184551548782054,1.806313620632,0,0,0,0
"result.36",58.7624775863355,5.91109511017556,0.324134009293702,0.912941988413962,0.201362878035123,1.93320861993787,0,0,0,0
"result.37",63.9568719674585,4.27366473753441,0.259671565547935,1.00911783839211,0.139588443796673,2.77128549532474,0,0,0,0
"result.38",59.327042506917,5.3629893739494,0.327395912872727,0.903173066344766,0.203745651560509,1.96279792925192,0,0,0,0
