"","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf"
"result.1",64.3536316711944,6.53574537014876,0.276738774732429,0.969172821890782,0.169243588721175,2.11492127333816,0,-0.24086050504258,0.769155565652543,4.41451190538973
"result.2",65.4999204677287,5.36617276379976,0.251564146803357,1.02038807737978,0.154894217611002,2.60023808261907,0,-0.367098671640174,2.16512947155151,4.25961411655639
"result.3",66.5746093701676,5.88827647840585,0.247350834591531,0.99734213485434,0.19936618013327,2.0338279879723,0,-0.320207344341438,1.42334234393816,4.07425446332241
"result.4",63.2809738363566,5.86476372543451,0.289826905123215,0.932449801114398,0.173507897978891,2.17757500820047,0,-0.216859491416859,1.13335998463439,4.55252721645025
"result.5",67.1421378966942,5.28178415521639,0.232404495977636,1.07636811240068,0.179319125486155,2.28684698585222,0,-0.428541986366716,1.95834289949916,4.0606985757255
"result.6",66.5986543341011,5.751205483615,0.237011460208612,1.06978344685459,0.18166674378532,2.44273091734344,0,-0.381667141725733,2.4791969305096,3.92374858195992
"result.7",64.413325388964,5.53224063454079,0.261836732400158,1.00461223608176,0.184188798260406,2.51013040685678,0,-0.266922397163556,1.28069850215857,4.01787884642601
"result.8",63.6551803831822,6.09167996879747,0.284552741936433,0.923162066255107,0.15664464398418,1.88313462508067,0,-0.228422501081996,1.08075526473565,4.38286510378743
"result.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.12",63.6241581954499,6.0932726768406,0.285173813539051,0.921793519587566,0.156756976818487,1.88199797920897,0,-0.22689475968065,1.06974679054463,4.57362526553355
"result.13",63.6431652970246,6.09696128305976,0.284772519318833,0.92271995794515,0.156701028364006,1.88222909055721,0,-0.226877811335523,1.07088204465655,4.44083830992326
"result.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.15",62.9563771255511,6.56408964301565,0.288402537343957,0.963846347248119,0.232657466862363,1.76875174664068,0,-0.21466435203046,0.639198125834067,4.61843863781257
"result.16",64.4184616705544,6.65875538478805,0.277745311294164,0.948848989752259,0.188096188837914,2.08960767103652,0,-0.221595081311139,0.724258431200761,4.32985143448188
"result.17",64.4184616705544,6.65875538478805,0.277745311294164,0.948848989752259,0.188096188837914,2.08960767103652,0,-0.221595081311139,0.724258431200761,4.32985143448188
"result.18",64.4184616705544,6.65875538478805,0.277745311294164,0.948848989752259,0.188096188837914,2.08960767103652,0,-0.221595081311139,0.724258431200761,4.32985143448188
"result.19",63.7756184149357,5.6689777599536,0.27659356399994,0.943873827763076,0.173399165259712,2.10600367390303,0,-0.289522904930703,1.37887571870606,4.61087513319016
"result.20",64.7933208928027,5.51135305868141,0.249484928972032,1.04267976915037,0.159642276451115,2.44028175567127,0,-0.394885699604335,1.85113403973347,4.25120448939932
"result.21",64.4184616705544,6.65875538478805,0.277745311294164,0.948848989752259,0.188096188837914,2.08960767103652,0,-0.221595081311139,0.724258431200761,4.32985143448188
