"","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf"
"result.1",57.9616439867548,5.72192039099856,0.356713137434495,0.839167031210135,0.234338244686296,1.43136201474253,0,0,0.802967240842626,1
"result.2",63.1796115742018,4.85800451552432,0.269292240714403,0.995129834284317,0.17359385922974,2.4122282748766,0,0,0.958923533082451,1
"result.3",63.2191234665212,5.55302398251065,0.266580947753177,1.01648024903199,0.1708191492506,2.20177054161129,0,0,0.792764862597262,1
"result.4",66.6618356208144,5.30304256999992,0.237599171483741,1.05609122060483,0.153265233025381,2.52141395220951,0,0,0.693208274375348,1
"result.5",62.3346511153514,4.58366389811493,0.276490476614753,0.992197891210967,0.179723932421027,2.04243986051878,0,0,0.81295263100211,1
"result.6",63.6592964852345,5.23474700585968,0.270403258305943,0.989034712798181,0.19251960031879,2.33848094310022,0,0,0.6577637299099,1
"result.7",65.621255731332,4.94063750058761,0.245120580025098,1.02783302705295,0.160484849853648,2.18147215910197,0,0,0.731387935739601,1
"result.8",63.2295765109134,5.3110746030805,0.265581139201737,1.02774374265533,0.188217681256562,2.32526197195449,0,0,0.810124926495543,1
"result.9",58.963376562957,5.17947253081708,0.323066546466047,0.915610037514358,0.194945975210663,2.13091002659041,0,0,0.8118204471246,1
"result.10",63.7401865770824,4.83421250439391,0.258752433135762,1.03114245379221,0.173730718652887,2.2881415757143,0,0,0.782485811282292,1
"result.11",57.7210704163205,5.93720866801521,0.359187954634174,0.894896441125339,0.231177517366958,1.57652018478192,0,0,0.830012474870695,1
"result.12",59.5609630688174,4.84029860063955,0.316632050379603,0.94380634295701,0.194995160691728,2.05901600455386,0,0,0.812359241415799,1
"result.13",58.828825274277,5.03733473817992,0.339889958977698,0.880308334394644,0.21884770554995,1.83719275913696,0,0,1.77900169978894,1
"result.14",61.8450641135763,4.84628918016039,0.281509959101388,0.978712796364655,0.181663283411626,2.09926018954761,0,0,0.803752710592592,1
