"Model","linf_sensitivity","linf_original","percent_linf","k_sensitivity","k_original","percent_k"
"Model 5",54.5,62.95,-13.43,0.45,0.27,62.07
"Model 6",69.92,77.96,-10.32,0.2,0.12,63.4
"Model 7",64.93,64.74,0.29,0.27,0.26,3.57
"Model 8",54.5,66.89,-18.53,0.45,0.25,76.05
"Model 9",54.5,64.74,-15.82,0.45,0.26,70.66
"Model 10",54.5,69.34,-21.41,0.45,0.15,205.08
"Model 11",66.47,68.14,-2.45,0.25,0.21,15.47
"Bayesian Model 1 (with Priors)",53.97,61.26,-11.91,0.46,0.3,56.61
"Bayesian Model 2 (with Priors)",54.08,61.79,-12.48,0.46,0.29,59.43
"Bayesian Model 3 (with Priors)",56.6,73.69,-23.18,0.45,0.17,158.6
"Bayesian Model 4 (with Priors)",56.71,73.67,-23.03,0.44,0.18,151.11
