Tag Date,Location,Station,Depth (fa.),Fish Spp.,Tagged before?,Tag #,F. L. (in.),Remarks,Recapture date,Location,Station,Depth (fa.),F. L. (in.),Weight (lb.),# Days Free,Growth (in.),Distance (miles) moved,Retagged?,Recapture Date,Location,Station,Depth (fa.),F. L. (in.),Weight (lb.),# Days Free,Growth (in.),Distance (mi.),Retagged?,Recapture Date,Location,Station,Depth (fa.),F. L. (in.),Weight (lb.),# Days Free,Growth (in.),Distance (mi.),Retagged?,Recapture Date,Location,Station,Depth (fa.),F. L. (in.),Weight (lb.),# Days Free,Growth (in.),Distance (mi.), Retagged?
1989-12-05,401,30,63,1,1,A605,9.80,,,,,,,,-31385,-9.8,,,,,,,,,-31385,-9.8,,,,,,,,,-31385,-9.8,,,,,,,,,-31385,-9.8,,
1989-12-05,401,30,63,1,0,A608,11.20,,1990-03-29,401,30,63,11.2,,114,0,0,N,,,,,,,-31385,-11.2,,,,,,,,,-31385,-11.2,,,,,,,,,-31385,-11.2,,
1989-11-16,401,30,63,1,0,A609,10.00,,1990-08-21,401,30,63,14.2,,278,4.2,0,N,,,,,,,-31366,-10,,,,,,,,,-31366,-10,,,,,,,,,-31366,-10,,
1989-11-16,401,30,63,1,0,A612,9.50,,,,,,,,-31366,-9.5,,,,,,,,,-31366,-9.5,,,,,,,,,-31366,-9.5,,,,,,,,,-31366,-9.5,,
1989-12-05,401,30,63,1,0,A613,11.70,,,,,,,,-31385,-11.7,,,,,,,,,-31385,-11.7,,,,,,,,,-31385,-11.7,,,,,,,,,-31385,-11.7,,
1989-12-05,401,30,63,1,0,A617,11.30,,,,,,,,-31385,-11.3,,,,,,,,,-31385,-11.3,,,,,,,,,-31385,-11.3,,,,,,,,,-31385,-11.3,,
1989-11-24,401,30,63,1,0,A621,10.40,,,,,,,,-31374,-10.4,,,,,,,,,-31374,-10.4,,,,,,,,,-31374,-10.4,,,,,,,,,-31374,-10.4,,
1989-12-05,401,30,63,1,0,A627,10.20,,,,,,,,-31385,-10.2,,,,,,,,,-31385,-10.2,,,,,,,,,-31385,-10.2,,,,,,,,,-31385,-10.2,,
1989-11-24,401,30,63,1,0,A628,11.00,,,,,,,,-31374,-11,,,,,,,,,-31374,-11,,,,,,,,,-31374,-11,,,,,,,,,-31374,-11,,
1989-11-16,401,30,63,1,0,A637,11.00,,,,,,,,-31366,-11,,,,,,,,,-31366,-11,,,,,,,,,-31366,-11,,,,,,,,,-31366,-11,,
1989-12-05,401,30,63,1,0,A638,10.00,,,,,,,,-31385,-10,,,,,,,,,-31385,-10,,,,,,,,,-31385,-10,,,,,,,,,-31385,-10,,
1989-12-05,401,30,63,1,0,A648,10.40,,,,,,,,-31385,-10.4,,,,,,,,,-31385,-10.4,,,,,,,,,-31385,-10.4,,,,,,,,,-31385,-10.4,,
1989-12-05,401,30,63,1,0,A649,9.00,,,,,,,,-31385,-9,,,,,,,,,-31385,-9,,,,,,,,,-31385,-9,,,,,,,,,-31385,-9,,
