tag_num,rel_date,recap_date,rel_FL,recap_FL
H3299,3/8/07,3/6/08,41.91,45.72
H3160,3/15/07,4/16/07,30.48,30.48
H3479,4/6/07,10/25/12,42.55,60.96
H3527,5/20/07,2/15/08,42.24,43.18
H3177,6/2/07,3/3/08,41.91,45.72
H3910,9/3/07,3/30/09,39.37,46.99
H3913,9/3/07,11/13/10,39.37,55.88
H3198,2/21/08,11/21/08,40.64,43.18
H4011,2/26/08,2/23/10,42.88,48.26
H4063,3/1/08,1/25/09,46.69,50.8
H4029,3/1/08,1/13/13,46.36,53.34
H4571,3/9/08,1/19/09,46.99,49.53
H4559,3/9/08,1/19/09,42.55,48.26
H4552,3/9/08,5/20/09,40.64,50.8
H4574,3/11/08,4/18/08,47.63,47.63
H4587,3/11/08,11/29/12,39.07,48.26
H4574,4/18/08,4/24/08,47.63,47.63
H3205,4/24/08,12/6/08,25.4,34.29
H4766,4/28/08,3/18/09,33.02,33.02
H4962,5/13/08,12/23/09,30.48,41.55
H4677,11/21/08,12/23/10,41.91,53.34
H4692,11/28/08,1/5/11,43.82,46.36
H4715,11/28/08,1/6/11,41.61,45.72
H4683,11/28/08,2/5/10,39.37,49.53
H4285,3/17/09,1/14/11,36.83,43.82
H3874,5/26/09,12/7/10,35.56,48.9
H5805,10/6/09,12/14/09,38.74,40.32
H5828,10/9/09,2/5/10,38.74,40.64
H5824,10/9/09,2/5/10,38.48,40.64
H4444,10/14/09,1/12/12,38.1,49.02
H5742,11/28/09,11/1/10,33.02,40.64
H6364,12/13/09,9/25/11,35.56,49.53
H5880,12/14/09,12/31/09,48.26,48.26
H5868,12/14/09,12/23/10,40.97,44.45
H5869,12/14/09,11/29/12,43.18,48.26
H5901,12/23/09,12/23/10,44.45,45.72
H5887,12/23/09,3/27/11,45.09,54.61
H5973,12/28/09,1/5/11,38.1,40.01
H5976,12/28/09,2/5/11,38.1,41.91
H5990,1/9/10,1/13/13,41.28,48.26
H6000,1/24/10,1/29/11,45.09,48.9
H6586,2/1/10,2/23/10,37.8,38.1
H6587,2/1/10,9/7/11,42.55,43.18
H6608,2/1/10,12/6/10,40.64,41.91
H6418,4/27/10,12/13/10,39.37,41.91
H6408,4/27/10,12/18/10,33.02,36.83
H6425,5/3/10,9/25/11,33.02,43.18
H6752,5/10/10,12/7/10,36.83,38.1
H6751,5/10/10,12/7/10,35.56,38.1
H6127,9/8/10,10/29/10,33.02,33.02
H6126,9/8/10,11/28/10,33.02,35.56
H6125,9/8/10,10/25/11,34.29,40.64
H6136,9/20/10,12/5/11,34,45.47
H7016,9/24/10,11/7/10,33.5,33.53
H7005,9/24/10,11/7/10,42,43.18
H7028,9/24/10,2/4/11,40,43.18
H6198,9/29/10,2/2/11,45.72,45.72
H7110,9/30/10,11/10/10,34,36.07
H7156,10/19/10,11/10/10,39.5,39.5
H7134,10/19/10,11/8/10,39,39.12
H7166,10/19/10,11/10/10,37.5,38
H7136,10/19/10,12/15/10,40,40.89
H7184,10/29/10,12/15/10,40,40
H7190,10/29/10,11/28/10,35.5,35.56
H7194,10/29/10,12/15/10,31.5,33.02
H7215,10/30/10,12/29/10,33,34.04
H7223,10/30/10,12/15/10,29,30.48
H7222,10/30/10,1/13/12,35,43.18
H7255,11/1/10,1/28/11,35,35
H7254,11/1/10,12/15/10,40,40
H7234,11/1/10,11/10/10,27.5,27.5
H7239,11/1/10,12/29/10,34,35.56
H7261,11/1/10,10/29/11,34.5,44.45
H5010,11/2/10,3/18/13,30.48,44.45
H7527,11/7/10,2/4/11,35,36.58
H6692,11/18/10,2/4/11,38.1,38.74
H6718,12/6/10,1/5/11,36.2,36.83
H6722,12/6/10,2/5/11,40.64,41.59
H8100,1/5/11,1/29/13,29.85,33.02
H5184,1/6/11,1/24/12,30.48,37.66
H5190,2/10/11,1/24/12,39.37,43.18
H7637,2/13/11,2/23/11,33,33.02
H7639,2/13/11,4/2/12,33.5,44.96
H8277,11/18/11,3/30/12,45.09,45.09
H9308,12/4/11,4/6/12,28.5,28.96
H9333,12/14/11,5/20/12,29.5,31.5
H9361,12/28/11,11/19/12,29.5,36.83
H9730,1/6/12,4/13/12,38.1,38.1
H11127,9/9/12,1/29/13,28,34.29
H11152,9/11/12,8/22/13,43,52.07
H11172,9/11/12,8/22/13,39,48.26
H10214,10/25/12,3/8/13,35.56,38.1
H13504,12/15/12,2/1/13,33.5,34
H13520,12/15/12,4/22/13,31,32
H13607,3/25/13,9/11/13,31,35.5
H13634,4/14/13,9/11/13,32,35.5
