tag_num,rel_date,rel_FL,recap_date,recap_FL,Units
H15915,02/25/2014,13,10/07/2014,15.5,in
H15526,01/16/2014,30,10/08/2014,34.5,cm
H7136,12/15/2010,16.1,11/03/2014,23.6,in
H15868,02/19/2014,13,11/10/2014,15,in
H16506,04/06/2014,12.5,11/13/2014,14,in
H6674,09/29/2010,16.5,11/15/2014,19,in
H15646,02/06/2014,13,11/22/2014,17,in
H15157,08/25/2014,12.2,11/23/2014,12.75,in
H16122,09/07/2014,10.2,11/23/2014,13,in
H9833,02/08/2012,33,12/03/2014,56,cm
H15513,12/09/2013,38.5,12/08/2014,45,cm
H16111,09/07/2014,38,12/20/2014,39,cm
H5852,12/06/2009,15.25,12/22/2014,22,in
H7735,04/04/2011,16,12/24/2014,22,in
H3183,06/07/2007,18.75,12/29/2014,22.75,in
H14944,01/03/2014,14,12/29/2014,19,in
H16474,04/27/2014,15,01/04/2015,17.25,in
H7160,10/19/2010,14.9,01/12/2015,22,in
H16075,09/03/2014,14.136,01/12/2015,15.25,in
H14706,01/18/2013,14.1,01/14/2015,17.5,in
H13065,03/19/2013,16,01/19/2015,17,in
H11405,09/22/2012,16.1,01/28/2015,18,in
H7198,10/29/2010,31.5,02/18/2015,59,cm
H14785,07/09/2014,13.5,02/21/2015,15.25,in
H15160,08/25/2014,11.8,02/22/2015,14,in
H14967,01/03/2014,13,03/08/2015,14.75,in
H6468,12/27/2009,15,03/10/2015,17.5,in
H15680,02/06/2014,14,03/12/2015,17.5,in
H9253,12/13/2011,14.5,03/16/2015,17,in
H7203,11/30/2010,32.5,03/23/2015,53.5,cm
H16831,09/01/2014,18.5,04/24/2015,18.89,in
H16722,08/30/2014,35.5,05/25/2015,39,cm
H16753,08/31/2014,36.8,05/25/2015,40.6,cm
H16752,08/31/2014,33,05/26/2015,34.3,cm
H16782,09/14/2014,36.8,06/13/2015,38,cm
H15159,08/25/2014,29,06/24/2015,37.5,cm
H17113,05/31/2015,33,07/16/2015,33,cm
H17135,06/13/2015,35,07/16/2015,35,cm
H16463,04/10/2014,15.5,09/02/2015,18,in
H17556,06/24/2015,34,10/02/2015,36,cm
H11321,09/19/2012,29,10/02/2015,48,cm
H17124,05/31/2015,32,10/07/2015,34,cm
H15670,02/09/2014,35.5,10/07/2015,51,cm
H17111,05/31/2015,29,10/07/2015,32,cm
H17112,05/31/2015,32,10/07/2015,34,cm
H16761,08/31/2015,36.8,10/07/2015,40,cm
H16795,09/01/2014,33,10/07/2015,37,cm
H14943,01/02/2014,33,10/07/2015,39,cm
H13295,09/23/2013,13.434,10/23/2015,20.2,in
H17580,06/24/2015,12.213,10/23/2015,12,in
H6610 / H6628,02/22/2010,16.5,10/30/2015,18,in
H16723,08/30/2014,15.5,11/06/2015,18,in
H14763,06/27/2014,11,11/08/2015,16,in
H17130,05/31/2015,12.632,11/08/2015,14,in
H17133,05/31/2015,14.637,11/08/2015,17,in
H17516,06/05/2015,11.28,11/20/2015,13.25,in
