,tag_id,dt,Lm,Lr,dL,pred_Lr,Sex
1,22,0.463013699,46,47,1,48.18747021,Male
2,87,0.810958904,44,47,3,48.06265049,Male
3,144,1.509589041,40,48,8,48.27818046,Male
4,155,1.345205479,48,54,6,53.00695135,Unk
5,157,0.695890411,48,49,1,50.82673956,Male
6,196,1.249315068,44,48,4,49.90021269,Female
7,218,1.734246575,46,54,8,52.90915366,Female
8,273,0.602739726,43,48,5,46.2634415,Male
9,311,1.797260274,60,63,3,61.52329898,Female
10,318,1.950684932,59,62,3,61.04495791,Female
11,322,0.824657534,54,55,1,56.04336796,Female
12,335,1.868493151,47,50,3,53.90526938,Unk
13,354,0.967123288,40,47,7,45.70074057,Unk
14,380,0.8,56,59,3,57.58396886,Unk
15,423,0.484931507,42,47,5,44.79670801,Male
16,434,1.619178082,47,52,5,53.18074977,Unk
17,437,1.463013699,51,54,3,55.34485915,Unk
18,448,1.463013699,49,53,4,54.02253418,Unk
19,487,2.542465753,50,57,7,57.08805238,Female
20,489,0.830136986,50,52,2,52.89240789,Female
21,493,0.567123288,53,57,4,54.6038057,Female
22,499,0.58630137,53,53,0,54.6536722,Female
23,508,1.4,49,50,1,53.84631806,Unk
24,519,1.509589041,51,56,5,55.45579883,Female
25,521,1.498630137,44,52,8,50.84807315,Male
26,552,1.553424658,44,48,4,51.04758632,Male
27,561,0.424657534,48,52,4,49.79060962,Unk
28,576,0.904109589,47,50,3,50.79555771,Male
29,582,1.509589041,39,50,11,47.6256697,Male
30,588,1.471232877,32,47,15,42.83162214,Unk
31,592,1.476712329,41,49,8,48.7915801,Female
32,601,1.465753425,43,49,6,50.06622235,Unk
33,602,1.547945205,40,54,14,48.4458903,Female
34,607,1.553424658,42,51,9,49.7586435,Female
35,620,1.621917808,35,49,14,45.60369928,Female
36,680,1.542465753,52,64,12,56.17970593,Female
37,700,0.843835616,51,54,3,53.72236574,Female
38,703,1.824657534,33,49,16,45.42517693,Unk
39,712,1.838356164,48,53,5,54.41495629,Female
40,757,0.890410959,45,50,5,49.19021754,Male
41,774,0.580821918,41,46,5,44.45722158,Male
42,800,1.550684932,37,47,10,46.52288725,Male
43,804,0.208219178,41,43,2,42.30515366,Unk
44,813,1.446575342,42,54,12,49.32716366,Unk
45,865,0.890410959,46,50,4,49.96760407,Unk
46,868,1.536986301,36,46,10,45.80826072,Male
47,908,1.460273973,38,47,9,46.73651309,Male
48,909,0.073972603,44,44,0,44.41039066,Unk
49,919,1.454794521,43,54,11,50.02352042,Female
50,920,1.452054795,46,51,5,52.00246864,Male
51,923,0.561643836,45,48,3,47.76443726,Unk
52,931,1.523287671,43,49,6,50.28824902,Male
53,952,0.608219178,44,47,3,47.13260139,Unk
54,954,0.534246575,50,52,2,51.93837895,Male
