"","summary.mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.Rhat","summary.n.eff"
"Linf_mu",76.8948073299714,31.9488714989971,17.1923693438497,71.7912051808553,74.4221349549653,77.6327908562249,160.864239264833,1.0009859258025,84000
"Linf_std",88.6821514827574,4772.29704691567,0.0126607172525206,0.125609853386846,1.32007243330986,15.156441537343,364.224238546311,1.00099095397387,84000
"Linf_tau",570.003442666308,2323.37859016715,7.53810724592799e-06,0.00435316874847079,0.573858047287384,63.380050749847,6238.54597701578,1.00099095397387,84000
"Shape",62.320192233498,13.3166219562958,41.0321072793806,52.4538509569729,60.48636486283,70.7390360227606,92.6160647857066,1.0024520733129,1400
"deviance",3937.74783871075,46.8123566401133,3847.12051033868,3905.94557038965,3937.23097128488,3969.12577525821,4030.54609200307,1.00102991463262,41000
"k_mu",0.170863614931171,0.0147075547428583,0.142545930467912,0.160904568019471,0.17070345876468,0.180567459910227,0.200272948385932,1.00161428683183,3200
"k_std",0.0205111333845738,0.00302488718541351,0.014920639663988,0.0184103948662544,0.0204084918850571,0.0224869756348581,0.026736104906302,1.00123207949242,8000
"k_tau",2543.06837879535,807.088401684647,1398.95494178838,1977.59748614598,2400.92267829744,2950.35172488968,4491.84866055537,1.00123207949242,8000
"p.value[1,1]",0.491857142857143,0.499936665302807,0,0,0,1,1,1.00103102809484,40000
"p.value[2,1]",0.859464285714286,0.347544047905859,0,1,1,1,1,1.00100422097154,84000
"p.value[3,1]",0.948238095238095,0.221547273287364,0,1,1,1,1,1.00101999948878,51000
"p.value[4,1]",0.625476190476191,0.484002597529622,0,0,1,1,1,1.0009825398096,84000
"p.value[5,1]",0.813238095238095,0.389722598563313,0,1,1,1,1,1.00098167160925,84000
"p.value[6,1]",0.541773809523809,0.498254858771201,0,0,1,1,1,1.00101918074716,52000
"p.value[7,1]",0.588202380952381,0.492161786005513,0,0,1,1,1,1.00104986471039,29000
"p.value[8,1]",0.699440476190476,0.458504088474009,0,0,1,1,1,1.00098415935955,84000
"p.value[9,1]",0.838583333333333,0.367917025771348,0,1,1,1,1,1.00098117024069,84000
"p.value[10,1]",0.515071428571429,0.499775775285827,0,0,1,1,1,1.00101853636195,53000
"p.value[11,1]",0.562107142857143,0.496130661329532,0,0,1,1,1,1.00104051222186,33000
"p.value[12,1]",0.710404761904762,0.453577209923155,0,0,1,1,1,1.00101720762105,55000
"p.value[13,1]",0.749797619047619,0.433132061722226,0,0,1,1,1,1.00114895757282,12000
"p.value[14,1]",0.928440476190476,0.257758703652648,0,1,1,1,1,1.00099826028493,84000
"p.value[15,1]",0.9605,0.194782447025053,0,1,1,1,1,1.00098213050108,84000
"p.value[16,1]",0.893380952380952,0.308630135053117,0,1,1,1,1,1.00098949496808,84000
"p.value[17,1]",0.592333333333333,0.491403531007733,0,0,1,1,1,1.00098484432847,84000
"p.value[18,1]",0.828583333333333,0.376874891634678,0,1,1,1,1,1.00099951881474,84000
"p.value[19,1]",0.804845238095238,0.396322155205206,0,1,1,1,1,1.0009915324488,84000
"p.value[20,1]",0.857047619047619,0.350026365129082,0,1,1,1,1,1.00100330623319,84000
"p.value[21,1]",0.856345238095238,0.350741408740302,0,1,1,1,1,1.00099193553773,84000
"p.value[22,1]",0.467130952380952,0.49892142575036,0,0,0,1,1,1.00100252020954,84000
"p.value[23,1]",0.405714285714286,0.491032661312235,0,0,0,1,1,1.0009984869455,84000
"p.value[24,1]",0.351428571428571,0.477419358693829,0,0,0,1,1,1.00098467548488,84000
"p.value[25,1]",0.551666666666667,0.497326351606251,0,0,1,1,1,1.00100667713051,77000
"p.value[26,1]",0.321297619047619,0.466977574504628,0,0,0,1,1,1.00103277024779,38000
"p.value[27,1]",0.127071428571429,0.33305495215522,0,0,0,0,1,1.00100112340744,84000
"p.value[28,1]",0.35477380952381,0.478447571572443,0,0,0,1,1,1.00100698860812,76000
"p.value[29,1]",0.582714285714286,0.493113822271758,0,0,1,1,1,1.00099915564153,84000
"p.value[30,1]",0.357404761904762,0.479238283353156,0,0,0,1,1,1.00104155921057,33000
"p.value[31,1]",0.653428571428571,0.475880625209702,0,0,1,1,1,1.00100753562613,74000
"p.value[32,1]",0.178583333333333,0.383005316849509,0,0,0,0,1,1.00100468668247,83000
"p.value[33,1]",0.488642857142857,0.499873974113956,0,0,0,1,1,1.00113623262873,13000
"p.value[34,1]",0.490309523809524,0.499909061509366,0,0,0,1,1,1.00099576476685,84000
"p.value[35,1]",0.522011904761905,0.499518214389074,0,0,1,1,1,1.00100373696307,84000
"p.value[36,1]",0.424404761904762,0.494255266204613,0,0,0,1,1,1.00098865996699,84000
"p.value[37,1]",0.396833333333333,0.489243792404776,0,0,0,1,1,1.00099659196795,84000
"p.value[38,1]",0.691964285714286,0.461684145858395,0,0,1,1,1,1.0009873880681,84000
"p.value[39,1]",0.429380952380952,0.494990774630132,0,0,0,1,1,1.00098538443232,84000
"p.value[40,1]",0.0487380952380952,0.215321260571392,0,0,0,0,1,1.00102021633029,51000
"p.value[41,1]",0.416214285714286,0.492932902872764,0,0,0,1,1,1.00099249580916,84000
"p.value[42,1]",0.00869047619047619,0.0928173172109067,0,0,0,0,0,1.00162957698062,35000
"p.value[43,1]",0.0473214285714286,0.21232674741439,0,0,0,0,1,1.00098342168439,84000
"p.value[44,1]",0.348333333333333,0.476445090857569,0,0,0,1,1,1.00101059675215,67000
"p.value[45,1]",0.75222619047619,0.431722327077263,0,1,1,1,1,1.00100617603768,78000
"p.value[46,1]",0.504285714285714,0.499984608423407,0,0,1,1,1,1.00099926280639,84000
"p.value[47,1]",0.94675,0.224532932281703,0,1,1,1,1,1.00102582561056,44000
"p.value[48,1]",0.542238095238095,0.498215714623236,0,0,1,1,1,1.00102839451701,42000
"p.value[49,1]",0.343130952380952,0.474757606753536,0,0,0,1,1,1.0009969051002,84000
"p.value[50,1]",0.0878095238095238,0.283019371967502,0,0,0,0,1,1.00099946128101,84000
"p.value[51,1]",0.167916666666667,0.373794493115149,0,0,0,0,1,1.00098801288751,84000
"p.value[52,1]",0.490964285714286,0.499921324931522,0,0,0,1,1,1.00100989390082,68000
"p.value[53,1]",0.36052380952381,0.480155325829915,0,0,0,1,1,1.00106274541739,24000
"p.value[54,1]",0.200690476190476,0.400519311229624,0,0,0,0,1,1.00099729046877,84000
"p.value[55,1]",0.456845238095238,0.498137150371211,0,0,0,1,1,1.0010076249303,74000
"p.value[56,1]",0.126869047619048,0.332828200609044,0,0,0,0,1,1.00098785284223,84000
"p.value[57,1]",0.0319642857142857,0.175906050269389,0,0,0,0,1,1.00101779161294,54000
"p.value[58,1]",0.35152380952381,0.477448986428762,0,0,0,1,1,1.00098498241309,84000
"p.value[59,1]",0.343869047619048,0.475000854452058,0,0,0,1,1,1.00101404263272,60000
"p.value[60,1]",0.293976190476191,0.455583868043993,0,0,0,1,1,1.00099615513143,84000
"p.value[61,1]",0.492416666666667,0.49994546562285,0,0,0,1,1,1.00101676128595,55000
"p.value[62,1]",0.399916666666667,0.489883846811938,0,0,0,1,1,1.00098636019769,84000
"p.value[63,1]",0.737392857142857,0.44005333392468,0,0,1,1,1,1.00101213074082,64000
"p.value[64,1]",0.415416666666667,0.49279666270826,0,0,0,1,1,1.00099938045577,84000
"p.value[65,1]",0.6255,0.483996424285034,0,0,1,1,1,1.00098870492693,84000
"p.value[66,1]",0.556964285714286,0.496747428527206,0,0,1,1,1,1.0009889509662,84000
"p.value[67,1]",0.686285714285714,0.464004521260978,0,0,1,1,1,1.00099750489344,84000
"p.value[68,1]",0.633380952380952,0.481884100146421,0,0,1,1,1,1.0009910277841,84000
"p.value[69,1]",0.588702380952381,0.492071915648685,0,0,1,1,1,1.00098282913463,84000
"p.value[70,1]",0.581047619047619,0.493390495928612,0,0,1,1,1,1.0009844537806,84000
"p.value[71,1]",0.307880952380952,0.461619765999136,0,0,0,1,1,1.00099006358025,84000
"p.value[72,1]",0.418309523809524,0.493284464462731,0,0,0,1,1,1.00100086857316,84000
"p.value[73,1]",0.580928571428571,0.493410036969316,0,0,1,1,1,1.00103802761623,35000
"p.value[74,1]",0.611261904761905,0.487466529519044,0,0,1,1,1,1.00101041748363,67000
"p.value[75,1]",0.771916666666667,0.419599121045329,0,1,1,1,1,1.00099266219493,84000
"p.value[76,1]",0.96947619047619,0.172024587972594,0,1,1,1,1,1.00099864309407,84000
"p.value[77,1]",0.298428571428571,0.457571253140924,0,0,0,1,1,1.00110511438105,16000
"p.value[78,1]",0.139166666666667,0.346122423074182,0,0,0,0,1,1.0009896104905,84000
"p.value[79,1]",0.4345,0.495694134674695,0,0,0,1,1,1.00098302108902,84000
"p.value[80,1]",0.534202380952381,0.49883179473316,0,0,1,1,1,1.00098922818504,84000
"p.value[81,1]",0.501,0.500001976210097,0,0,1,1,1,1.00098099847594,84000
"p.value[82,1]",0.463345238095238,0.498657586586751,0,0,0,1,1,1.00100198882988,84000
"p.value[83,1]",0.289892857142857,0.453715152054908,0,0,0,1,1,1.001040170589,34000
"p.value[84,1]",0.422,0.493881467354743,0,0,0,1,1,1.00098222211986,84000
"p.value[85,1]",0.475928571428571,0.49942320295951,0,0,0,1,1,1.00099015881514,84000
"p.value[86,1]",0.388059523809524,0.487311149923471,0,0,0,1,1,1.00104541425752,31000
"p.value[87,1]",0.654178571428571,0.475638162205587,0,0,1,1,1,1.00099499624232,84000
"p.value[88,1]",0.278488095238095,0.448257591269257,0,0,0,1,1,1.00100818087576,73000
"p.value[89,1]",0.505880952380952,0.499968389214021,0,0,1,1,1,1.00098186116883,84000
"p.value[90,1]",0.199285714285714,0.399465665663211,0,0,0,0,1,1.00102723284972,43000
"p.value[91,1]",0.345845238095238,0.475645879519151,0,0,0,1,1,1.00108334529672,19000
"p.value[92,1]",0.444440476190476,0.496906509105272,0,0,0,1,1,1.00101536371483,58000
"p.value[93,1]",0.509523809523809,0.499912264500734,0,0,1,1,1,1.00101215429836,64000
"p.value[94,1]",0.321595238095238,0.467091359632413,0,0,0,1,1,1.00100831724186,72000
"p.value[95,1]",0.485821428571429,0.499801902702348,0,0,0,1,1,1.0009902397857,84000
"p.value[96,1]",0.659166666666667,0.473992243448108,0,0,1,1,1,1.00098875145971,84000
"p.value[97,1]",0.535595238095238,0.498734338267467,0,0,1,1,1,1.00098728781363,84000
"p.value[98,1]",0.723333333333333,0.447352886050813,0,0,1,1,1,1.00100448566049,84000
"p.value[99,1]",0.639404761904762,0.480176068987205,0,0,1,1,1,1.00100503080817,82000
"p.value[100,1]",0.193,0.394655361297228,0,0,0,0,1,1.00104677203792,30000
"p.value[101,1]",0.491285714285714,0.499927031221911,0,0,0,1,1,1.00098231660629,84000
"p.value[102,1]",0.64447619047619,0.478674584781709,0,0,1,1,1,1.00100960866531,69000
"p.value[103,1]",0.508297619047619,0.499934120584292,0,0,1,1,1,1.0010075606132,74000
"p.value[104,1]",0.781869047619048,0.412979261432993,0,1,1,1,1,1.00103849361662,35000
"p.value[105,1]",0.724047619047619,0.44699557383777,0,0,1,1,1,1.0009877260899,84000
"p.value[106,1]",0.676095238095238,0.467966958428251,0,0,1,1,1,1.00098875989449,84000
"p.value[107,1]",0.501571428571429,0.500000506808498,0,0,1,1,1,1.00101635042337,56000
"p.value[108,1]",0.907904761904762,0.289162066371995,0,1,1,1,1,1.00101467271422,59000
"p.value[109,1]",0.68522619047619,0.46442849411435,0,0,1,1,1,1.00099108632426,84000
"p.value[110,1]",0.879178571428571,0.325921578836443,0,1,1,1,1,1.00098337583889,84000
"p.value[111,1]",0.44602380952381,0.497080991794589,0,0,0,1,1,1.00098373231755,84000
"p.value[112,1]",0.248964285714286,0.432415652057927,0,0,0,0,1,1.00101600308293,57000
"p.value[113,1]",0.486511904761905,0.499821013310677,0,0,0,1,1,1.00098615495211,84000
"p.value[114,1]",0.216821428571429,0.412082416822326,0,0,0,0,1,1.0010434461236,32000
"p.value[115,1]",0.119428571428571,0.324294063681265,0,0,0,0,1,1.00099769705928,84000
"p.value[116,1]",0.60352380952381,0.489168344745038,0,0,1,1,1,1.00098119769851,84000
"p.value[117,1]",0.534726190476191,0.498795602992545,0,0,1,1,1,1.00098318072035,84000
"p.value[118,1]",0.512857142857143,0.499837641775312,0,0,1,1,1,1.00099871160995,84000
"p.value[119,1]",0.541178571428571,0.49830440625602,0,0,1,1,1,1.00098853909487,84000
"p.value[120,1]",0.606392857142857,0.488552352791432,0,0,1,1,1,1.00098345533451,84000
"p.value[121,1]",0.43075,0.495184164362309,0,0,0,1,1,1.00100193779589,84000
"p.value[122,1]",0.493595238095238,0.49996195331495,0,0,0,1,1,1.00100928753196,70000
"p.value[123,1]",0.876642857142857,0.328848666655997,0,1,1,1,1,1.0009833271281,84000
"p.value[124,1]",0.409059523809524,0.491663205416653,0,0,0,1,1,1.00098951603154,84000
"p.value[125,1]",0.684,0.464915662430822,0,0,1,1,1,1.00104253849738,32000
"p.value[126,1]",0.468095238095238,0.498984018056232,0,0,0,1,1,1.00100254206689,84000
"p.value[127,1]",0.58175,0.49327460320261,0,0,1,1,1,1.0010092256465,70000
"p.value[128,1]",0.612702380952381,0.487135503057978,0,0,1,1,1,1.00099378912282,84000
"p.value[129,1]",0.587797619047619,0.492234154186254,0,0,1,1,1,1.00100663923624,77000
"p.value[130,1]",0.592857142857143,0.491304818414079,0,0,1,1,1,1.00100773453603,74000
"p.value[131,1]",0.568797619047619,0.495247218560629,0,0,1,1,1,1.00099159504078,84000
"p.value[132,1]",0.642773809523809,0.479185113360293,0,0,1,1,1,1.00098171102855,84000
"p.value[133,1]",0.374571428571429,0.484014940268856,0,0,0,1,1,1.00105861276713,26000
"p.value[134,1]",0.531773809523809,0.498992373925053,0,0,1,1,1,1.00098668610403,84000
"p.value[135,1]",0.303666666666667,0.459843168430776,0,0,0,1,1,1.00098508075537,84000
"p.value[136,1]",0.466452380952381,0.498876257286169,0,0,0,1,1,1.00098107995487,84000
"p.value[137,1]",0.715083333333333,0.451377431001245,0,0,1,1,1,1.00102736230742,43000
"p.value[138,1]",0.419952380952381,0.493553724156348,0,0,0,1,1,1.00098458403229,84000
"p.value[139,1]",0.572119047619048,0.494774450913905,0,0,1,1,1,1.00098564241773,84000
