"","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf"
"result.1",58.0992373276118,5.10515003143111,0.32951740816963,0.92135102707645,0.238884221990541,1.60113833192396,0,0,0,0
"result.2",62.8096503827509,4.62424245540112,0.264010635264368,1.03762088572875,0.18909633672388,2.2097449270817,0,0,0,0
"result.3",60.7082960770597,5.55688312082991,0.306304113808366,0.927771388947568,0.177292411648646,2.08133584962215,0,0,0,0
"result.4",59.0054096589438,5.63379262880407,0.334667560832548,0.892804351462784,0.205558583733466,1.84881950383655,0,0,0,0
"result.5",58.0419964625933,5.60809567293412,0.359489091129896,0.827466664389784,0.223877394928042,1.84385971004251,0,0,0,0
"result.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.7",61.409529836722,5.81004691862766,0.299082988768577,0.949386140434888,0.203614161768969,1.97526069774624,0,0,0,0
"result.8",62.6161896659576,5.41329903638777,0.265882799058388,1.02948604614416,0.184153564338091,1.98726160875348,0,0,0,0
"result.9",62.3762062626472,4.61259082901071,0.266254536792056,1.0209208742656,0.15912960784184,2.51811713239553,0,0,0,0
"result.10",58.1697713793699,5.45836604858024,0.346066504813322,0.864729166947609,0.212096867009111,1.83143157509943,0,0,0,0
"result.11",65.1521092997473,4.8668560214257,0.24159132672317,1.06783460164115,0.159047399645105,2.57889286701338,0,0,0,0
"result.12",61.782334510546,4.9520474807253,0.28874318521423,0.943907388844225,0.160979080995458,2.04193256761127,0,0,0,0
"result.13",59.0125470241944,5.75228977006883,0.326217149418381,0.900738812163168,0.200852708270642,1.84344642191394,0,0,0,0
"result.14",59.85961522769,5.29661740390388,0.302020615255104,0.959669592585525,0.196408528387912,2.29139511397727,0,0,0,0
"result.15",63.7678893348632,5.34226254560359,0.26095291891117,1.02711034594194,0.189710842720366,2.02795549597053,0,0,0,0
"result.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.17",58.7311165995622,5.29630321403392,0.330743021033786,0.909195063587034,0.192235416131247,2.04687042680151,0,0,0,0
"result.18",58.7458091440763,5.74521853432303,0.350486852152109,0.862454456253361,0.225921359879685,1.47996679060922,0,0,0,0
"result.19",57.3377496469499,4.82106548449021,0.346835435253743,0.875211056574349,0.201601119914624,1.82183554838666,0,0,0,0
"result.20",62.010881940438,5.13782107748801,0.278396029722932,0.98596496410954,0.177078717617718,2.06075460703038,0,0,0,0
"result.21",61.847865664144,5.22501174581052,0.288512982203125,0.979598036723543,0.198545338659311,1.88629667677204,0,0,0,0
"result.22",58.4769077047363,4.65052623921106,0.344044995520167,0.869076361286109,0.18861420663466,2.26104251596777,0,0,0,0
"result.23",58.712998361938,4.84207277394489,0.33276064580197,0.894199508223098,0.185078773266146,2.17890250902427,0,0,0,0
"result.24",57.8099366984189,5.61178304367439,0.356165006961499,0.856353120324921,0.209292557977927,1.68596604640229,0,0,0,0
"result.25",66.2084472177985,5.44251649872688,0.236101217280892,1.05995036088378,0.179185863065362,2.37110220777205,0,0,0,0
"result.26",59.5036860534154,4.98527673037327,0.322185575645136,0.910259648867571,0.182972399067077,2.15376215778495,0,0,0,0
"result.27",60.0924607264029,5.82247075352083,0.315442311505918,0.953408437817916,0.227084594486238,1.71664327682218,0,0,0,0
"result.28",64.2525841260066,5.54377641054241,0.259916978022875,1.0091353950424,0.166983099116241,2.28381293730264,0,0,0,0
"result.29",62.8585055802617,4.95710382790023,0.272336987191151,0.976812845921759,0.163688801615076,2.4579018380183,0,0,0,0
"result.30",64.6011350045655,4.97868788450881,0.259011397695223,0.999303186042299,0.187105383093988,2.04558282304899,0,0,0,0
"result.31",58.9123313271935,5.35593787101758,0.335096247072144,0.883906118998925,0.224173832414768,2.03609342545557,0,0,0,0
