"","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf"
"result.1",59.7670430729756,5.92209690724505,0.322315566011791,0.900882047877644,0.221424622011561,1.79313673041084,0,0,0,0
"result.2",62.180242646034,5.63092290620708,0.27943061237473,0.98044028626479,0.185142561497747,2.07077324308093,0,0,0,0
"result.3",60.6343329472271,5.05021765619767,0.303212176914247,0.941296426376336,0.203383360035795,1.99702693535041,0,0,0,0
"result.4",60.2031292242812,4.6210390806786,0.322296410607308,0.878861304805267,0.166416092543058,2.60381420369055,0,0,0,0
"result.5",58.4361428961271,6.25339654145336,0.344700785333765,0.873352855550018,0.228427956128219,1.88864921598435,0,0,0,0
"result.6",60.1844812604358,5.21834687536294,0.318377836447323,0.901326431351482,0.200821702978455,1.93825165832017,0,0,0,0
"result.7",62.9233645305276,5.36618192929048,0.276947719465368,0.960684143910623,0.191454949095199,1.80988134328309,0,0,0,0
"result.8",61.3772856582363,5.32831054946535,0.305473041817916,0.934253673979503,0.197785930076905,1.92478376576913,0,0,0,0
"result.9",60.9498322843303,5.89600003531201,0.285390723611177,1.01676927055919,0.194173676244264,2.19383235089777,0,0,0,0
"result.10",61.3203513562187,5.85074976248431,0.295004578018146,0.950350884977006,0.200551339911105,1.81454934031323,0,0,0,0
"result.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.12",61.634378581373,5.23426608080908,0.288525482109194,0.966421512054776,0.19884943665244,1.81808088888771,0,0,0,0
"result.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.14",61.8518567108147,5.6671143613876,0.280611363188667,1.00362637121051,0.202866400471034,2.05382076538272,0,0,0,0
"result.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.16",61.010160604708,5.25421218890197,0.317507387265371,0.890234750268159,0.197006677156229,2.03242826832249,0,0,0,0
"result.17",59.2907132501276,5.66409863296215,0.341244494672026,0.840514260009167,0.198529266521749,1.7048315729065,0,0,0,0
"result.18",65.6195639452641,5.30883545936154,0.242240223222987,1.05141790670648,0.172964622914235,2.06469912575089,0,0,0,0
"result.19",58.1650180388387,5.54526726433011,0.333510122838106,0.904836821109381,0.237724327633186,1.77355042202672,0,0,0,0
"result.20",60.3686352954105,5.65380802226549,0.29278166062494,0.995875210345697,0.19200749190628,2.15888562938225,0,0,0,0
"result.21",62.180647377205,5.19681560866857,0.29759752529675,0.928776497860324,0.186996662078601,2.25408656334992,0,0,0,0
"result.22",58.4411336491913,5.52925070507525,0.341483138646658,0.88521800860563,0.213482221673481,1.88238252925661,0,0,0,0
"result.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.24",61.534411886401,5.16117592875962,0.292560705085372,0.970456153406273,0.195562571064829,2.0148171325297,0,0,0,0
"result.25",61.643885441008,5.70947756471257,0.27995055994783,1.00541693170359,0.186021613946184,1.92738745829397,0,0,0,0
"result.26",60.4881693424342,5.30521690066498,0.313354033055547,0.91442739857878,0.186632125281136,2.06541020021075,0,0,0,0
"result.27",58.2520249146493,5.11599486594064,0.365320358712891,0.842505689327036,0.23203065588794,1.76925099579662,0,0,0,0
"result.28",66.0751768485788,4.77100479676127,0.240127452038218,1.06886380589313,0.1767082195836,2.22513135252881,0,0,0,0
"result.29",67.6952162333973,5.60556812114384,0.21270415668021,1.15012235093293,0.157486102564519,2.06564765685301,0,0,0,0
"result.30",63.0928019646029,5.12245451151332,0.276625148362752,0.95229684703698,0.170634592792322,2.4088675195666,0,0,0,0
"result.31",59.3009321890088,4.94151555718737,0.325398594045339,0.902413600398467,0.204052274238784,1.91890473598219,0,0,0,0
"result.32",65.612329794458,5.32182113247247,0.243810983214357,1.03867767421785,0.171171548673082,2.80388739797505,0,0,0,0
"result.33",63.97724953177,4.82309329896697,0.253898471044966,1.03743170187291,0.162710635967767,2.40316879401046,0,0,0,0
"result.34",56.0643947176892,5.40681238237691,0.379876515124904,0.822873763437549,0.230021909674841,1.57315082185677,0,0,0,0
"result.35",62.1929144314041,4.85858470256497,0.273196575106717,1.01939786091413,0.162791824926693,2.45144962925013,0,0,0,0
"result.36",62.4302359088129,4.7948493123611,0.286315877539004,0.955814128253688,0.166921545894401,2.36499216892227,0,0,0,0
"result.37",60.617062877815,5.34911274623604,0.28257923664377,1.03823803060686,0.185365451654992,2.50541969444741,0,0,0,0
"result.38",61.0816198465372,5.77331635590233,0.287612709962474,0.99011072963849,0.228996289888158,1.79815265587173,0,0,0,0
"result.39",62.7361975805444,4.92107484811404,0.258986105316393,1.04260015604926,0.147639858428448,2.45305411305026,0,0,0,0
"result.40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.41",66.5275953944512,5.2586772437631,0.23794884980804,1.05566474176161,0.192903369226923,2.36342320887051,0,0,0,0
"result.42",57.4801583770146,5.23255287540536,0.358374002024531,0.86438198193346,0.194365112732916,2.13427681750416,0,0,0,0
"result.43",60.3377591701896,4.6864568721915,0.303634004277603,0.967729096361193,0.21404376699029,2.01094696526605,0,0,0,0
"result.44",57.2836285445382,5.39611925218338,0.369582925957852,0.838753283073168,0.204391839102501,1.800918161662,0,0,0,0
"result.45",64.749028476892,4.89096251969854,0.248971139456501,1.05123241730665,0.158426568361606,2.37614375950613,0,0,0,0
"result.46",60.4335121657304,4.79077275842712,0.294234917906783,0.966515637462908,0.187263315144879,2.11243231816905,0,0,0,0
"result.47",63.4544579642009,4.97177236110907,0.266100184513147,1.00949073201184,0.161398503674632,2.20648146488859,0,0,0,0
"result.48",57.0813512040025,5.48700141391157,0.372445859033021,0.818362400915606,0.229220527565814,1.59685913533756,0,0,0,0
"result.49",58.4879779631453,6.13632854149247,0.344450872002787,0.858136024078391,0.210175999079939,1.6770270864885,0,0,0,0
"result.50",57.2864719562372,5.87243981596135,0.356932524922748,0.877614340245975,0.233875569334438,1.65482409568327,0,0,0,0
"result.51",57.1466136413259,5.7333660540571,0.364673017059354,0.860718623421457,0.222047076115853,1.58149602266655,0,0,0,0
"result.52",59.0591332268251,5.66109366690835,0.333742169389846,0.874110970309007,0.200424181305159,2.06859888418115,0,0,0,0
"result.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.54",66.5422187227834,4.34640896923854,0.221328084266049,1.12113133023965,0.150149719108532,2.78983786167809,0,0,0,0
"result.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.56",61.9417252830827,5.33137281116899,0.280071506697445,1.01129809474331,0.181078039958489,2.34340943085569,0,0,0,0
"result.57",60.588443277384,5.17505918406793,0.299813473871602,0.950061250820572,0.169265362473505,2.28245731012841,0,0,0,0
"result.58",59.766263544128,4.93593016036378,0.306204457873794,0.953835937985186,0.184388470975663,2.21517789073502,0,0,0,0
"result.59",56.0552057925861,5.44597606908945,0.381708301441508,0.820120519222008,0.244989896110138,1.53526360829841,0,0,0,0
"result.60",62.5470732972233,4.91632104177592,0.289489777968986,0.941598066375016,0.140490391886888,2.39791362728796,0,0,0,0
"result.61",60.0902348806687,5.18687553062853,0.309701458800747,0.94230502144709,0.185158705163253,2.09228498323024,0,0,0,0
"result.62",62.8159576420736,5.37184725914443,0.268236467603879,1.01929891637525,0.174607534123926,2.24161416282482,0,0,0,0
"result.63",61.9159133451548,5.29636461684962,0.284620888088442,0.97878599413196,0.188565362097154,1.72378562345936,0,0,0,0
"result.64",64.2150124169992,5.70180149442281,0.248967858851037,1.05561354978267,0.172587420960938,2.24236524610737,0,0,0,0
"result.65",58.2925809839273,5.44429459179826,0.34610798135301,0.870901904527604,0.232855910081657,1.53326260600175,0,0,0,0
"result.66",56.0365693825403,6.03857240596798,0.38214610138328,0.827340364725218,0.231327522300983,1.50210784108648,0,0,0,0
