"","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf"
"result.1",61.3342961697072,4.72689056393066,0.296664119364121,0.936224105641972,0.194720390798983,2.49055249807087,0,0,0,0
"result.2",64.8800041108322,4.71792587524102,0.264763899795853,0.978735111201024,0.150378127285087,2.90784014199073,0,0,0,0
"result.3",66.8341646137123,5.08438605771911,0.226215582238266,1.09199595064434,0.137990598006347,2.87067565327277,0,0,0,0
"result.4",67.1136038591153,5.15441907936433,0.241144425599926,1.0192717518391,0.171910681762322,2.65962876712212,0,0,0,0
"result.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.6",60.6777722424484,5.01831474604498,0.297400103896138,0.962349431621661,0.178080460831171,2.57593169071646,0,0,0,0
"result.7",57.5656424060478,5.04700984050051,0.376797796506296,0.81650165883241,0.213454670725803,2.05107486078947,0,0,0,0
"result.8",63.8405596429623,5.20730179763004,0.266981969652314,0.998753930221813,0.155707632758653,2.15363897330405,0,0,0,0
"result.9",63.3643651110628,5.33825707192209,0.264504554929137,1.01600158739382,0.186475608984565,1.85460243042661,0,0,0,0
"result.10",65.3520960726232,5.71232808080505,0.232950058910565,1.10722250747623,0.144398942647051,2.69253357568064,0,0,0,0
"result.11",64.0352859741236,5.37589631802109,0.262395702355762,1.02160082666222,0.146218034801089,2.64644466758951,0,0,0,0
"result.12",65.5562883468013,5.02950489361165,0.246913568288684,1.04701032296634,0.166886824366309,2.58548715380039,0,0,0,0
"result.13",64.3840436205636,4.63307418971266,0.250492399154017,1.05199928319256,0.160735244861912,2.87537716532818,0,0,0,0
"result.14",61.5763868028389,4.90576815055483,0.293313047191742,0.934169329169636,0.173508245748689,2.51652047243076,0,0,0,0
"result.15",62.3922221599242,4.9590164256487,0.291102252603622,0.922589150968442,0.178847449933963,2.43776268649313,0,0,0,0
"result.16",60.9778221557954,5.20791004121629,0.302868474459475,0.923306661029579,0.179537584275386,2.38726332544986,0,0,0,0
"result.17",62.7934653888827,4.68509362190204,0.289600184905929,0.935143348475247,0.176754323583549,2.59674831717098,0,0,0,0
"result.18",64.0305495355561,5.35767715401257,0.256130822568147,1.02981663163343,0.16788110176946,2.4885303545509,0,0,0,0
"result.19",64.3393744507068,5.24113238969024,0.260765407836952,0.995119909808464,0.169112994772498,2.67366232183661,0,0,0,0
"result.20",65.2332520551329,5.38791082725138,0.247531698819789,1.0537532544781,0.185889887960502,2.46670593366074,0,0,0,0
"result.21",60.361589115158,4.6984786316237,0.331761691020269,0.852394027090059,0.184719295958101,2.66067387561554,0,0,0,0
"result.22",59.9708516382821,5.180656352613,0.334403982970188,0.825463493424081,0.135052559681845,2.64721978086199,0,0,0,0
"result.23",61.1080727729016,5.0304979081796,0.314106711768737,0.896650509579402,0.171062377975641,2.70867123140966,0,0,0,0
"result.24",59.91651789688,5.24770402892975,0.313542927734335,0.93345056230392,0.190775250097734,2.43788361235021,0,0,0,0
"result.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.27",62.8506652377283,4.63301930397435,0.278378377923546,0.982025184197201,0.151796502574862,2.95148771201168,0,0,0,0
"result.28",63.0141343073545,5.24437209242717,0.278774221938574,0.964625025118175,0.182717865655361,2.55548357718134,0,0,0,0
"result.29",65.0201935923534,4.80690793986423,0.256292119669692,0.994698704842868,0.168051347767518,2.50664869928206,0,0,0,0
"result.30",65.2864042603693,4.74527208190208,0.240944192574785,1.06264040623195,0.158045838618324,2.51200300181693,0,0,0,0
"result.31",65.7779521743836,4.06532138192815,0.238216154584502,1.08561662880334,0.164576315577939,2.37220627035389,0,0,0,0
"result.32",60.9786558034858,5.38101879280107,0.298056818999101,0.950827172324594,0.192840700504935,2.41525961563796,0,0,0,0
"result.33",65.3539013282213,5.81726863919353,0.241360566921269,1.06834110325642,0.200125871587657,2.37639873149128,0,0,0,0
"result.34",62.5638816116785,5.50115428708833,0.282957606691573,0.964543479608834,0.179849631535213,2.36191429126812,0,0,0,0
"result.35",68.7053952408701,5.02862337395296,0.212916056122704,1.11351804040232,0.150920897005703,2.67338226820544,0,0,0,0
"result.36",60.9773976084143,5.18010569985164,0.294609121760621,0.97518482015785,0.156924757951405,2.38441807427187,0,0,0,0
"result.37",65.2348255532033,4.95202047436341,0.251320760820101,1.04001350639665,0.162425756130434,2.4861350659251,0,0,0,0
