"","summary.mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.Rhat","summary.n.eff"
"Linf_mu",59.8333902857373,1.53343780304785,57.104449823722,58.7603959376675,59.7401433960807,60.7939101163197,63.1532902236829,1.0169089118468,190
"Linf_std",5.47209634603004,0.343442562141288,4.81228069192102,5.24001309434219,5.46961227380078,5.69933304932294,6.15425386685501,1.00140839608,4300
"Linf_tau",0.0337961995557041,0.00430716039669517,0.0264027513419176,0.0307859051665459,0.0334261930517127,0.0364196070369662,0.0431815371388192,1.00140839608,4300
"Shape",26.7049719719719,4.3855667584768,19.4719402228511,23.6767433810953,26.3000701346452,29.1912985712193,36.5640884110649,1.00408060916622,710
"deviance",3348.22277126857,120.407862769629,3103.05659869421,3268.22843259246,3351.86537042341,3431.94979160525,3573.50298083148,1.00469393322919,540
"k_mu",0.320247170607606,0.0266762449399074,0.267787577763605,0.302051020149199,0.319984603049782,0.338120745206145,0.373425737507616,1.01768559451226,180
"k_std",0.0116575673039025,0.00414724103131428,0.00561164998066628,0.0085959990115925,0.0109590114072152,0.0139835333785778,0.021565965706184,1.00116433095214,9200
"k_tau",10536.7647810448,7827.89736526602,2150.11742821901,5114.06393498161,8326.3994531734,13533.4114675987,31755.4923569203,1.00116433095214,9200
"rate",10.4843907875181,1.58150822243626,7.84581864395531,9.3999171563332,10.340755673879,11.3975178238449,13.9649808954349,1.00164500647431,2900
"tau",0.267354732853557,0.0430278696544302,0.196325445089423,0.236925924432539,0.26285954800601,0.293397967508344,0.36377245934427,1.00413630265645,630
"variance",3.8352005257279,0.603976693643923,2.74897116126543,3.40833990259854,3.80431301653588,4.22072849307268,5.09358325684435,1.00413630265645,630
