"Model","linf_sensitivity","linf_original","percent_linf","k_sensitivity","k_original","percent_k"
"Model 5",62.24,62.95,-1.13,0.29,0.27,3.94
"Model 6",76.73,77.96,-1.58,0.13,0.12,2.62
"Model 7",65.59,64.74,1.31,0.27,0.26,4.43
"Model 8",62.24,66.89,-6.95,0.29,0.25,12.9
"Model 9",62.24,64.74,-3.86,0.29,0.26,9.44
"Model 10",62.24,69.34,-10.24,0.29,0.15,95.65
"Model 11",67.67,68.14,-0.69,0.22,0.21,2.46
"Bayesian Model 1 (with Priors)",62.1,61.35,1.23,0.31,0.3,4.09
"Bayesian Model 2 (with Priors)",72.1,61.63,16.98,0.18,0.29,-36.3
"Bayesian Model 3 (with Priors)",73.8,74.44,-0.86,0.17,0.17,4.83
"Bayesian Model 4 (with Priors)",74.07,74.24,-0.22,0.17,0.16,1.04
